City,Population,Violent crime,Murder and Non-Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Addison,"36,791",61,1,18,6,36,464,65,361,38,4
Albany,876,1,0,1,0,0,6,2,4,0,0
Aledo,"3,455",0,0,0,0,0,26,3,23,0,0
Alexis,789,0,0,0,0,0,15,7,4,4,0
Algonquin,"31,156",27,0,7,4,16,265,18,243,4,0
Alsip,"19,050",24,2,0,16,6,427,66,329,32,1
Altamont,"2,274",2,0,1,0,1,38,13,25,0,1
Alton,"26,563",171,8,26,25,112,994,228,703,63,8
Amboy,"2,323",5,0,2,0,3,7,4,3,0,0
Anna,"4,155",14,0,2,2,10,147,26,118,3,3
Annawan,852,1,0,0,0,1,8,0,8,0,0
Antioch,"14,201",20,0,8,2,10,165,12,150,3,0
Arcola,"2,878",7,0,0,0,7,7,5,2,0,0
Arlington Heights,"75,688",28,0,10,6,12,628,68,535,25,1
Aroma Park,695,1,0,0,1,0,15,6,8,1,0
Arthur,"2,248",3,0,0,1,2,15,5,10,0,0
Ashland,"1,203",1,0,1,0,0,4,2,2,0,0
Ashton,898,0,0,0,0,0,2,2,0,0,0
Assumption,"1,083",2,0,0,0,2,9,6,3,0,0
Athens,"1,901",0,0,0,0,0,16,4,9,3,0
Auburn,"4,695",2,0,0,0,2,7,2,5,0,0
Aurora,"201,364",538,4,68,94,372,"2,301",319,"1,860",122,9
Aviston,"2,117",2,0,2,0,0,1,1,0,0,0
Bannockburn,"1,579",0,0,0,0,0,19,2,17,0,0
Barrington,"10,293",1,0,0,1,0,124,9,111,4,0
Barrington Hills,"4,219",1,0,0,0,1,23,3,20,0,0
Barry,"1,256",0,0,0,0,0,11,6,5,0,0
Bartlett,"41,140",21,0,5,8,8,169,11,150,8,2
Bartonville,"6,221",16,0,5,2,9,200,37,151,12,0
Batavia,"26,614",34,0,9,5,20,369,21,333,15,2
Beardstown,"5,507",58,0,1,0,57,160,32,122,6,0
Beecher,"4,486",4,0,2,0,2,25,4,21,0,0
Belgium,386,0,0,0,0,0,2,2,0,0,0
Belleville,"41,283",171,2,38,41,90,"1,261",284,890,87,12
Belvidere,"25,121",60,0,18,2,40,270,51,206,13,1
Bensenville,"18,324",20,0,11,4,5,272,26,225,21,0
Berkeley,"5,119",5,0,1,1,3,49,6,40,3,0
Berwyn,"55,391",191,1,54,54,82,818,99,629,90,6
Bethalto,"9,300",5,0,0,1,4,81,15,62,4,0
Bethany,"1,265",1,0,0,1,0,11,7,4,0,0
Bloomingdale,"22,008",32,0,1,5,26,488,36,448,4,0
Bloomington,"78,097",339,9,68,37,225,"1,193",196,909,88,5
Blue Island,"23,310",93,1,10,32,50,288,68,168,52,0
Bluffs,660,1,0,0,0,1,1,1,0,0,0
Bolingbrook,"75,451",112,1,23,17,71,592,60,477,55,3
Bourbonnais,"18,388",33,0,7,2,24,154,16,130,8,1
Bradley,"15,271",17,0,3,3,11,442,31,403,8,2
Braidwood,"6,217",11,0,5,0,6,45,9,33,3,2
Breese,"4,491",2,0,0,0,2,28,0,28,0,0
Bridgeview,"16,317",30,0,3,8,19,319,31,270,18,1
Brighton,"2,136",1,0,0,0,1,5,1,3,1,0
Broadview,"7,761",19,0,2,12,5,330,28,278,24,0
Brooklyn,706,7,0,1,3,3,18,3,11,4,0
Brookport,904,1,0,0,0,1,11,2,9,0,1
Buffalo Grove,"41,182",7,0,2,1,4,268,42,216,10,0
Bunker Hill,"1,680",1,0,0,0,1,22,5,16,1,1
Burbank,"28,771",60,0,5,21,34,242,38,184,20,3
Burr Ridge,"10,852",3,0,0,0,3,190,17,162,11,0
Byron,"3,588",1,0,1,0,0,34,3,31,0,0
Cahokia,"14,004",75,2,14,14,45,604,169,383,52,18
Calumet City,"36,560",187,5,36,107,39,980,205,586,189,4
Cambridge,"2,090",2,0,0,0,2,7,1,6,0,0
Campton Hills,"11,305",1,0,0,0,1,17,2,15,0,0
Carbondale,"25,816",111,0,27,26,58,760,114,613,33,10
Carlinville,"5,499",21,0,3,1,17,230,37,187,6,2
Carlyle,"3,175",6,0,0,0,6,44,1,42,1,0
Carol Stream,"40,019",33,0,7,10,16,411,48,336,27,2
Carpentersville,"38,220",34,0,10,17,7,496,48,433,15,2
Carrollton,"2,434",15,0,1,0,14,25,5,18,2,0
Carterville,"5,873",13,0,5,1,7,58,17,40,1,0
Carthage,"2,466",2,0,1,0,1,23,6,16,1,0
Cary,"17,830",20,0,7,4,9,110,17,91,2,0
Casey,"2,649",8,0,2,0,6,21,7,13,1,0
Caseyville,"4,038",38,0,6,1,31,50,8,33,9,0
Catlin,"1,958",0,0,0,0,0,3,3,0,0,0
Centralia,"12,372",157,1,28,19,109,499,151,296,52,5
Centreville,"4,969",19,1,0,3,15,201,50,96,55,0
Champaign,"88,326",602,7,72,83,440,"1,998",276,"1,637",85,10
Channahon,"12,837",9,0,4,0,5,58,15,42,1,0
Charleston,"20,878",29,0,8,3,18,61,24,36,1,1
Chatham,"12,770",18,0,6,3,9,82,8,71,3,0
Chenoa,"3,142",2,0,0,0,2,7,4,3,0,0
Cherry Valley,"3,067",9,1,1,0,7,238,12,225,1,1
Chester,"8,505",16,0,3,2,11,14,5,3,6,0
Chicago,"2,719,151","27,357",563,"1,798","9,684","15,312","86,513","11,686","64,695","10,132",438
Chicago Heights2,"29,832",260,2,32,106,120,,,214,105,2
Chicago Ridge,"14,167",18,0,2,9,7,358,15,328,15,0
Chillicothe,"6,153",21,0,3,1,17,99,23,69,7,2
Christopher,"2,717",15,0,0,0,15,19,2,16,1,0
Cicero,"82,310",314,4,34,127,149,"1,770",364,"1,295",111,16
Clarendon Hills,"8,751",7,0,0,0,7,42,9,31,2,0
Clinton,"6,927",8,0,7,1,0,203,68,135,0,0
Coal City3,"5,338",5,0,0,0,5,,3,,1,0
Coal Valley,"3,782",9,0,4,0,5,73,8,61,4,0
Cobden,"1,094",6,0,1,0,5,8,0,8,0,0
Colchester,"1,306",0,0,0,0,0,1,0,1,0,0
Cortland,"4,342",2,0,0,0,2,28,5,23,0,0
Country Club Hills,"16,565",71,3,11,21,36,589,68,468,53,1
Cowden,575,0,0,0,0,0,5,1,4,0,0
Crest Hill,"21,221",42,1,16,9,16,203,29,148,26,0
Crete,"8,147",17,0,2,1,14,132,16,108,8,1
Crystal Lake,"40,345",38,0,12,4,22,648,37,602,9,0
Dallas City,880,2,0,0,0,2,3,2,1,0,0
Dana,153,0,0,0,0,0,0,0,0,0,0
Danvers,"1,110",0,0,0,0,0,2,0,2,0,0
Danville,"31,203",559,12,53,103,391,"1,508",379,"1,052",77,15
Darien,"22,054",25,2,10,1,12,231,23,199,9,0
Decatur,"71,625",358,9,30,84,235,"2,050",618,"1,325",107,23
Deer Creek,668,3,0,1,1,1,13,9,4,0,0
Deerfield,"19,049",4,1,1,1,1,137,16,115,6,0
DeKalb,"43,064",228,0,45,31,152,"1,105",125,939,41,6
Delavan,"1,612",2,0,0,0,2,44,22,21,1,0
De Soto,"1,534",3,0,0,0,3,12,2,10,0,0
Des Plaines,"58,155",39,1,6,12,20,725,65,623,37,2
Diamond,"2,505",0,0,0,0,0,1,0,0,1,0
Divernon,"1,124",0,0,0,0,0,6,0,5,1,0
Dixon,"15,129",32,0,23,0,9,222,22,196,4,0
Downers Grove,"49,626",49,0,15,9,25,563,71,466,26,3
Downs,970,2,0,1,0,1,5,0,5,0,0
Dupo,"3,844",4,0,0,0,4,82,17,59,6,0
Du Quoin,"5,770",14,0,2,0,12,43,13,22,8,0
Dwight,"4,009",5,0,0,2,3,38,1,30,7,0
East Alton,"6,073",29,0,13,7,9,231,33,186,12,0
East Dubuque,"1,592",3,0,0,1,2,17,3,13,1,0
East Dundee,"3,243",2,0,0,1,1,32,8,21,3,0
East Peoria,"22,640",114,1,37,8,68,584,93,482,9,0
East St. Louis2,"26,630",317,23,22,51,221,,198,,100,24
Edinburg,"1,026",14,0,2,0,12,12,1,8,3,0
Edwardsville,"25,054",13,0,0,5,8,185,14,168,3,0
Effingham,"12,624",43,0,12,5,26,340,41,281,18,0
Elburn,"5,900",0,0,0,0,0,13,6,7,0,0
Eldorado,"3,975",12,0,0,3,9,87,32,50,5,0
