City,Population,Violent crime,Murder and Non-Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Elgin,"113,060",235,3,48,57,127,"1,713",172,"1,455",86,7
Elizabeth,729,0,0,0,0,0,5,1,4,0,0
Elk Grove Village,"32,723",23,0,3,9,11,485,35,391,59,3
Elmhurst,"47,025",23,0,6,9,8,445,63,372,10,0
Elmwood,"2,054",2,0,0,0,2,10,3,7,0,0
Elmwood Park,"24,486",54,0,6,16,32,250,53,182,15,2
Elwood,"2,262",4,0,0,0,4,17,1,11,5,0
Energy,"1,127",0,0,0,0,0,17,3,12,2,0
Erie,"1,519",0,0,0,0,0,6,2,3,1,0
Eureka,"5,335",11,0,2,0,9,34,2,30,2,0
Evanston,"74,780",140,3,6,47,84,"1,702",289,"1,358",55,6
Evergreen Park,"19,497",54,0,4,19,31,921,30,883,8,2
Fairfield,"5,013",21,0,5,1,15,85,8,74,3,0
Fairmont City,"2,466",3,0,1,0,2,15,6,6,3,0
Fairmount,612,0,0,0,0,0,3,0,3,0,0
Fairview Heights,"16,516",67,1,18,6,42,695,56,615,24,1
Farmersville,684,0,0,0,0,0,0,0,0,0,0
Farmington,"2,257",6,0,1,0,5,27,6,21,0,0
Findlay,639,0,0,0,0,0,1,0,1,0,0
Fisher,"1,973",2,0,1,0,1,30,8,22,0,0
Fithian,462,0,0,0,0,0,0,0,0,0,0
Flora,"4,856",7,0,0,0,7,97,1,93,3,1
Flossmoor,"9,315",11,0,1,3,7,244,15,215,14,0
Forest Park,"13,919",66,1,6,32,27,531,70,415,46,0
Forest View,685,0,0,0,0,0,36,5,24,7,0
Fox Lake,"10,535",17,0,4,3,10,256,33,215,8,0
Fox River Grove,"4,639",9,0,1,0,8,62,9,51,2,3
Frankfort,"19,184",9,0,1,0,8,187,21,154,12,2
Franklin Park,"17,968",47,0,14,6,27,242,67,151,24,4
Freeburg,"4,246",2,0,0,1,1,29,7,18,4,0
Freeport,"23,887",49,1,20,7,21,572,89,468,15,5
Fulton,"3,288",9,0,0,0,9,48,9,36,3,0
Galena,"3,198",1,0,0,0,1,85,12,71,2,0
Geneva,"22,082",6,0,0,1,5,154,27,125,2,0
Genoa,"5,225",12,0,5,0,7,65,3,60,2,0
Georgetown,"3,265",16,1,3,1,11,72,17,49,6,0
Germantown,"1,278",2,0,0,0,2,18,0,18,0,0
Gibson City,"3,292",11,0,3,0,8,8,3,5,0,0
Gifford,"1,100",0,0,0,0,0,3,0,3,0,0
Gilberts,"8,254",3,0,1,0,2,20,2,18,0,0
Gilman,"1,687",1,0,0,0,1,53,5,48,0,0
Girard,"2,003",14,0,3,1,10,14,4,9,1,0
Glasford,976,1,0,0,0,1,1,1,0,0,0
Glen Carbon,"12,991",9,0,0,0,9,129,14,114,1,0
Glendale Heights,"34,030",18,0,0,12,6,397,32,332,33,2
Glen Ellyn,"28,079",21,0,8,5,8,217,27,179,11,3
Glenview,"48,088",34,0,7,5,22,422,60,331,31,1
Glenwood,"8,864",11,0,0,6,5,55,21,30,4,0
Godley,746,0,0,0,0,0,6,3,1,2,0
Golf,499,0,0,0,0,0,3,0,3,0,0
Goodfield,999,0,0,0,0,0,27,1,26,0,0
Grafton,636,0,0,0,0,0,22,5,16,1,0
Grand Ridge,525,0,0,0,0,0,0,0,0,0,0
Grandview,"1,400",2,0,0,0,2,24,7,17,0,0
Granite City,"28,593",219,1,34,36,148,729,283,316,130,13
Grantfork,331,1,0,0,0,1,3,1,1,1,0
Grayslake,"20,943",27,0,5,3,19,168,28,134,6,0
Greenfield,995,4,0,0,0,4,12,2,9,1,0
Greenup,"1,487",2,0,0,0,2,29,6,22,1,0
Greenville,"6,723",14,1,0,2,11,100,10,83,7,1
Gurnee,"30,698",44,0,17,14,13,"1,085",53,"1,007",25,1
Hainesville,"3,640",0,0,0,0,0,46,5,39,2,0
Hamel,814,0,0,0,0,0,7,4,2,1,0
Hampshire,"6,466",11,0,1,0,10,23,13,10,0,0
Hampton,"1,807",2,0,0,0,2,9,3,5,1,0
Hanover Park,"37,971",43,0,7,12,24,194,35,147,12,0
Harrisburg,"8,697",49,0,7,5,37,325,111,207,7,2
Hartford,"1,359",2,0,1,0,1,24,2,22,0,0
Harvard,"9,144",8,0,3,0,5,64,4,58,2,0
Havana,"3,046",29,0,8,2,19,59,5,50,4,0
Hawthorn Woods,"8,504",0,0,0,0,0,40,2,36,2,0
Hazel Crest,"13,811",52,2,7,25,18,424,85,273,66,1
Henning,236,0,0,0,0,0,0,0,0,0,0
Henry,"2,247",5,0,1,0,4,30,2,27,1,0
Herrin,"12,930",35,0,5,7,23,376,92,264,20,1
Hickory Hills,"13,934",16,1,2,4,9,189,20,157,12,1
Highland,"9,812",9,0,2,1,6,79,9,63,7,0
Highland Park,"29,764",24,0,3,2,19,198,26,150,22,1
Highwood,"5,307",4,0,1,1,2,33,0,33,0,0
Hillsboro,"6,016",28,0,6,1,21,74,13,58,3,0
Hillsdale,510,0,0,0,0,0,1,0,0,1,0
Hinckley,"2,045",0,0,0,0,0,20,3,17,0,0
Hinsdale,"17,831",2,0,2,0,0,98,23,60,15,0
Hodgkins,"1,897",1,0,0,0,1,299,5,292,2,0
Hoffman Estates,"51,514",48,1,14,9,24,417,45,349,23,0
Homer,"1,168",0,0,0,0,0,0,0,0,0,0
Homer Glen,"24,638",9,0,1,2,6,149,31,107,11,1
Hometown,"4,263",3,0,0,2,1,15,3,12,0,0
Homewood,"19,056",46,1,9,23,13,786,55,678,53,2
Hoopeston,"5,078",21,0,6,2,13,155,53,95,7,2
Hudson,"1,823",0,0,0,0,0,4,1,3,0,0
Huntley,"27,637",9,0,0,1,8,99,8,89,2,0
Ina,"2,349",4,0,0,0,4,9,0,9,0,0
Indian Head Park,"3,782",1,0,0,0,1,27,4,22,1,0
Indianola,263,0,0,0,0,0,0,0,0,0,0
Itasca,"9,531",7,0,4,1,2,103,15,80,8,0
Jacksonville,"18,320",65,0,7,6,52,519,72,435,12,2
Jerseyville,"8,238",10,0,2,0,8,96,27,60,9,0
Johnsburg,"6,313",2,0,2,0,0,112,5,102,5,0
Joliet,"148,553",486,8,44,122,312,"2,312",449,"1,726",137,49
Justice,"12,822",7,0,1,2,4,29,4,21,4,0
Kankakee,"26,032",230,4,35,47,144,871,143,682,46,11
Kansas,720,0,0,0,0,0,0,0,0,0,0
Kenilworth,"2,521",0,0,0,0,0,15,5,7,3,0
Kewanee,"12,413",35,0,7,0,28,489,39,425,25,6
Kildeer,"4,060",1,0,0,0,1,52,6,45,1,0
Kincaid,"1,397",4,0,1,0,3,18,6,11,1,0
Kingston,"1,170",0,0,0,0,0,7,0,6,1,0
Lacon,"1,760",4,0,0,0,4,16,3,13,0,0
Ladd,"1,208",3,0,0,0,3,2,0,2,0,0
La Grange,"15,583",15,0,0,5,10,153,16,134,3,1
La Grange Park,"13,411",5,0,0,2,3,62,16,46,0,0
La Harpe,"1,161",0,0,0,0,0,3,3,0,0,0
Lake Bluff,"5,654",1,0,0,1,0,43,7,36,0,0
Lake In the Hills,"28,924",32,0,19,2,11,117,14,101,2,1
Lakemoor,"6,046",6,0,2,0,4,21,2,19,0,0
Lake Villa,"8,726",9,1,4,0,4,33,3,29,1,0
Lakewood,"3,945",4,0,0,0,4,21,2,19,0,0
Lake Zurich,"19,930",5,0,1,1,3,259,18,238,3,0
Lanark,"1,340",0,0,0,0,0,1,0,1,0,0
Lansing,"27,904",88,2,13,45,28,"1,525",116,"1,301",108,2
La Salle,"9,051",0,0,0,0,0,103,9,92,2,0
Leland,921,0,0,0,0,0,2,0,2,0,0
Leland Grove,"1,486",0,0,0,0,0,1,0,0,1,0
Lemont,"17,224",22,0,13,1,8,142,15,113,14,0
Lenzburg,488,0,0,0,0,0,4,1,3,0,1
Le Roy,"3,541",7,0,1,0,6,30,8,21,1,0
Lexington,"2,045",1,0,1,0,0,1,1,0,0,0
Lincoln,"13,724",52,0,5,2,45,253,38,204,11,2
Lincolnwood,"12,467",15,0,0,5,10,380,40,317,23,3
Lindenhurst,"14,450",13,1,8,1,3,58,6,48,4,0
Lisle,"22,966",16,0,4,5,7,106,20,74,12,0
Litchfield,"6,747",5,0,2,1,2,217,26,188,3,3
Loami,753,1,0,0,0,1,13,3,8,2,0
Lockport,"25,510",17,0,2,5,10,177,31,137,9,3
Lombard,"43,794",52,1,15,4,32,856,59,781,16,2
Loves Park,"23,301",86,0,24,13,49,456,71,354,31,1
Lovington,"1,061",3,0,3,0,0,18,3,15,0,1
Lyons,"10,563",11,2,2,2,5,115,9,96,10,0
Machesney Park,"22,627",57,0,15,7,35,416,57,341,18,1
Macomb,"18,124",56,1,19,2,34,228,36,185,7,1
Mahomet,"8,672",10,0,5,0,5,56,12,43,1,0
Malta,"1,159",0,0,0,0,0,2,0,2,0,0
Manhattan,"7,879",2,0,0,0,2,26,4,20,2,0
Manteno,"8,996",9,0,4,0,5,159,18,139,2,0
Maple Park,"1,327",1,0,1,0,0,8,2,6,0,0
Marengo,"7,470",3,0,2,0,1,54,8,43,3,0
Marine,920,1,0,0,0,1,2,1,1,0,0
Marissa,"1,820",22,0,0,0,22,36,17,17,2,0
Maroa,"1,720",1,0,0,0,1,22,6,15,1,0
Marquette Heights,"2,669",4,0,2,1,1,16,1,13,2,1
Marseilles,"4,869",8,0,2,3,3,58,16,37,5,2
Marshall,"3,851",4,0,0,0,4,25,3,19,3,0
Martinsville,"1,113",1,0,0,0,1,5,1,4,0,0
Maryville,"7,954",9,0,0,2,7,53,10,38,5,0
Mascoutah,"8,078",7,0,4,1,2,87,7,78,2,0
Mason City,"2,159",11,0,7,0,4,26,6,19,1,0
Mattoon,"17,794",99,0,17,1,81,281,102,179,0,4
Maywood,"23,573",135,4,20,57,54,570,120,345,105,4
McCook,223,0,0,0,0,0,19,4,12,3,0
McCullom Lake,"1,009",1,0,0,0,1,1,1,0,0,0
McHenry,"26,893",48,0,20,3,25,288,26,241,21,0
McLean,799,0,0,0,0,0,5,1,4,0,0
Melrose Park,"25,164",85,0,7,27,51,316,68,176,72,4
Mendota,"7,062",10,0,7,0,3,61,14,41,6,0
Merrionette Park,"1,879",3,0,0,0,3,38,9,26,3,0
Metropolis,"6,076",33,0,7,2,24,359,68,273,18,1
Midlothian,"14,607",26,1,1,19,5,330,64,236,30,0
Milan,"5,046",17,0,0,1,16,98,31,62,5,0
Milledgeville,957,1,0,0,0,1,9,4,5,0,0
Minonk,"1,996",0,0,0,0,0,20,2,15,3,0
Mokena,"20,507",11,0,2,4,5,295,31,240,24,0
Moline,"42,051",228,2,33,24,169,"1,050",190,780,80,8
Momence,"3,127",4,0,0,1,3,45,13,26,6,1
Monmouth,"9,042",31,0,1,4,26,212,40,160,12,2
Montgomery,"19,897",17,0,2,5,10,287,20,262,5,2
Monticello,"5,557",11,0,0,0,11,28,4,24,0,1
Morris,"14,798",16,0,4,5,7,238,13,212,13,0
Morrison,"4,054",10,0,2,0,8,61,12,48,1,0
Morrisonville,"1,011",0,0,0,0,0,5,0,5,0,0
Morton,"16,302",18,0,4,1,13,103,27,74,2,0
Morton Grove,"23,123",10,0,2,2,6,285,55,218,12,0
Mount Carmel,"6,931",17,0,0,0,17,123,21,102,0,0
Mount Morris,"2,803",1,0,0,1,0,16,3,13,0,0
Mount Olive,"1,956",1,0,0,0,1,22,1,21,0,0
Mount Prospect,"53,888",32,0,7,11,14,558,55,486,17,3
Mount Pulaski,"1,484",0,0,0,0,0,1,1,0,0,0
Mount Vernon,"14,914",228,0,27,18,183,773,168,585,20,7
Mount Zion,"5,816",5,0,0,1,4,51,11,38,2,0
Moweaqua,"1,712",3,0,3,0,0,13,6,4,3,0
Mundelein,"31,436",27,0,15,1,11,183,22,148,13,1
Murphysboro,"7,511",53,0,9,4,40,231,82,144,5,0
Naperville2,"148,457",102,0,29,21,52,,163,,39,0
Neoga,"1,623",3,0,1,1,1,12,2,9,1,0
New Athens,"1,903",3,0,0,0,3,24,4,20,0,0
New Baden,"3,268",7,0,1,1,5,36,0,33,3,8
New Berlin,"1,329",0,0,0,0,0,8,4,3,1,0
New Lenox,"26,905",35,0,13,7,15,299,17,272,10,1
Newton,"2,848",5,0,2,0,3,26,11,12,3,0
Niles,"29,433",34,1,5,11,17,605,63,514,28,2
Nokomis,"2,124",9,0,4,0,5,31,6,24,1,0
Normal,"54,525",119,2,35,21,61,985,119,843,23,0
Norridge,"14,416",20,0,0,9,11,413,26,373,14,0
Norris City,"1,203",10,0,0,0,10,9,0,9,0,0
North Aurora,"18,470",24,0,6,4,14,240,14,220,6,1
Northbrook,"33,424",6,0,3,1,2,512,67,431,14,0
Northfield,"5,472",3,1,1,0,1,82,19,58,5,0
Northlake,"12,369",10,0,1,6,3,268,14,250,4,0
North Pekin,"1,543",0,0,0,0,0,19,3,16,0,0
North Riverside,"6,548",20,1,0,4,15,448,10,401,37,0
North Utica,"1,343",2,0,0,0,2,2,1,1,0,0
Oak Brook,"8,103",10,0,3,3,4,552,22,514,16,0
Oakbrook Terrace,"2,164",2,0,0,0,2,85,5,78,2,0
Oak Forest,"27,644",37,0,5,12,20,304,48,222,34,0
Oak Lawn,"55,996",81,0,11,24,46,758,74,671,13,3
Oak Park3,"52,313",,2,16,97,,,,"1,176",65,2
Oakwood,"1,523",1,0,1,0,0,13,5,8,0,0
Oblong,"1,381",3,0,0,0,3,10,1,9,0,0
O'Fallon,"29,354",81,1,28,11,41,543,76,456,11,2
Okawville,"1,368",2,0,0,0,2,22,6,16,0,0
Olney,"8,919",45,0,11,5,29,371,70,289,12,5
Olympia Fields,"4,878",7,0,1,4,2,353,17,327,9,0
Onarga,"1,276",2,0,0,0,2,12,6,5,1,0
Orion,"1,810",3,0,0,0,3,13,1,12,0,0
Orland Park,"59,064",20,1,1,5,13,"1,015",29,963,23,2
Oswego,"35,478",17,0,8,2,7,298,10,284,4,2
Ottawa,"18,096",15,0,1,2,12,310,45,259,6,5
Palatine,"68,648",28,1,11,7,9,358,26,317,15,0
Palestine,"1,285",9,0,1,0,8,30,8,20,2,0
Palos Heights,"12,385",3,0,0,2,1,135,11,114,10,0
Palos Hills,"17,338",18,0,2,3,13,84,8,68,8,0
Palos Park,"4,822",0,0,0,0,0,63,4,57,2,0
Paris,"8,253",61,0,10,1,50,162,91,59,12,0
Park City,"7,504",11,0,6,2,3,86,8,68,10,0
Park Forest,"21,636",61,1,4,24,32,344,75,218,51,7
Park Ridge,"37,490",21,0,2,4,15,341,51,273,17,4
Pawnee,"2,667",1,0,1,0,0,0,0,0,0,0
Paxton,"4,180",11,0,3,0,8,48,18,28,2,0
Pekin2,"32,541",136,1,37,16,82,,127,,25,4
Peoria,"112,595",860,22,68,201,569,"4,509",890,"3,197",422,50
Peoria Heights,"5,828",18,0,7,0,11,90,21,49,20,0
Peotone,"4,152",3,0,2,0,1,23,4,19,0,0
Peru,"9,770",10,0,5,1,4,149,12,133,4,1
Phoenix,"1,944",8,0,2,5,1,44,9,29,6,0
Pierron,562,0,0,0,0,0,0,0,0,0,0
Pinckneyville,"5,358",4,0,0,0,4,34,5,29,0,0
Pingree Grove,"8,867",3,0,3,0,0,48,1,47,0,0
Pittsfield,"4,397",7,1,3,0,3,31,8,22,1,0
Plainfield,"44,525",54,0,14,7,33,328,34,275,19,0
Plano,"11,692",9,0,4,1,4,72,8,61,3,1
Pleasant Hill,928,0,0,0,0,0,24,5,19,0,0
Pleasant Plains,800,0,0,0,0,0,6,1,5,0,0
Pontiac,"11,795",40,0,0,4,36,172,21,149,2,1
Pontoon Beach,"5,640",13,0,0,3,10,68,5,53,10,0
Posen,"5,903",14,0,1,6,7,116,14,82,20,0
Potomac,711,2,0,1,0,1,3,2,1,0,0
Princeton,"7,538",22,0,11,1,10,160,26,128,6,0
Prophetstown,"1,959",0,0,0,0,0,1,1,0,0,0
Prospect Heights,"16,167",25,0,5,3,17,82,11,61,10,0
Quincy,"40,249",252,1,51,14,186,"1,288",216,"1,022",50,3
Rankin,528,0,0,0,0,0,0,0,0,0,0
Rantoul,"12,741",35,1,18,14,2,349,92,243,14,1
Red Bud,"3,505",4,0,0,0,4,26,13,12,1,0
Richmond,"1,926",11,0,3,1,7,20,4,15,1,0
Richton Park,"13,485",55,0,7,27,21,331,40,235,56,0
Ridge Farm,828,0,0,0,0,0,14,3,11,0,0
Riverdale,"13,322",99,5,11,41,42,377,88,237,52,2
River Forest,"11,125",14,0,0,6,8,233,32,193,8,0
Riverside,"8,723",13,0,5,4,4,91,11,77,3,0
Riverton,"3,427",12,0,3,0,9,41,10,26,5,0
Riverwoods,"3,619",2,0,1,1,0,22,3,16,3,0
Robbins,"5,506",38,2,3,5,28,57,8,26,23,3
Rochester,"3,733",2,0,0,0,2,18,2,14,2,0
Rockdale,"1,939",4,0,0,0,4,6,1,3,2,0
Rock Falls,"8,844",11,0,2,0,9,89,23,61,5,0
Rockford,"146,198","2,027",23,133,346,"1,525","5,368","1,169","3,752",447,64
Rock Island,"37,985",99,1,3,19,76,986,166,688,132,11
Rockton,"7,443",9,0,3,0,6,184,9,173,2,0
Rolling Meadows,"23,970",15,0,3,3,9,284,19,258,7,0
Romeoville,"39,625",58,1,10,15,32,431,42,361,28,2
Roscoe,"10,466",10,0,0,1,9,93,23,66,4,0
Roselle,"22,799",9,0,6,1,2,206,24,172,10,1
Rosemont,"4,143",42,0,10,8,24,411,8,396,7,0
Round Lake,"18,454",18,0,0,3,15,108,14,84,10,0
Round Lake Beach,"27,534",34,0,7,6,21,509,36,461,12,1
Round Lake Heights,"2,689",7,0,0,1,6,12,1,11,0,0
Round Lake Park,"7,740",23,0,0,5,18,49,8,39,2,2
Roxana,"1,455",4,0,2,0,2,35,3,32,0,0
Ruma,308,0,0,0,0,0,4,0,4,0,0
Rushville,"2,936",6,0,2,0,4,46,7,37,2,0
Salem,"7,131",18,0,6,1,11,342,42,287,13,1
Sandoval,"1,214",7,0,3,0,4,50,14,32,4,28
Sandwich,"7,382",7,0,2,0,5,9,5,2,2,0
San Jose,607,0,0,0,0,0,2,0,0,2,0
Sauget,148,2,1,0,1,0,47,7,28,12,0
Sauk Village3,"10,436",,3,16,23,,271,103,135,33,1
Savanna,"2,818",14,0,3,0,11,98,28,66,4,1
Schaumburg,"74,169",61,0,15,22,24,"1,516",75,"1,393",48,1
Schiller Park,"11,617",17,0,2,6,9,219,18,178,23,1
Seneca,"2,255",13,0,0,0,13,40,8,32,0,0
Shannon,697,0,0,0,0,0,4,0,4,0,0
Shawneetown,"1,113",5,0,0,0,5,13,7,6,0,0
Sherman,"4,782",3,0,1,0,2,21,6,15,0,0
Shiloh,"13,167",22,0,12,4,6,159,32,121,6,2
Shorewood,"17,482",14,0,6,1,7,101,9,88,4,1
Sidell,579,0,0,0,0,0,0,0,0,0,0
Silvis,"7,578",32,0,3,3,26,174,39,123,12,0
Skokie,"63,849",172,0,15,37,120,"1,606",206,"1,348",52,7
Sleepy Hollow,"3,314",2,0,0,0,2,8,0,8,0,0
Smithton,"3,822",1,0,0,0,1,8,3,5,0,0
Somonauk,"1,878",1,0,0,0,1,5,3,2,0,0
South Barrington,"5,040",0,0,0,0,0,105,6,86,13,0
South Beloit,"7,642",13,3,0,4,6,102,17,80,5,0
South Chicago Heights,"4,077",19,1,1,8,9,151,6,138,7,0
South Elgin,"22,627",24,0,13,3,8,97,12,85,0,0
South Holland,"21,690",68,2,19,31,16,541,89,352,100,0
South Pekin,"1,098",0,0,0,0,0,36,9,24,3,0
