City,Population,Violent crime,Murder and Non-Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Addison,"36,676",73,0,25,23,25,423,52,344,27,0
Aledo,"3,448",0,0,0,0,0,39,7,30,2,0
Alexis,785,1,0,0,0,1,12,1,10,1,0
Algonquin,"31,016",23,0,6,3,14,303,16,285,2,1
Alsip2,"18,830",53,0,8,13,32,,61,378,,0
Altamont,"2,278",3,0,3,0,0,21,4,16,1,0
Alton,"26,360",268,2,34,28,204,"1,101",203,813,85,4
Amboy,"2,301",6,0,2,0,4,17,6,10,1,0
Anna,"4,110",30,0,2,0,28,162,42,117,3,0
Annawan,853,1,0,0,0,1,5,0,4,1,0
Antioch,"14,229",17,0,2,6,9,138,4,126,8,0
Arcola,"2,831",4,0,2,0,2,30,19,9,2,0
Arlington Heights,"75,249",33,2,9,7,15,600,41,539,20,8
Arthur,"2,220",1,0,0,0,1,17,3,13,1,1
Ashland,"1,181",3,0,1,0,2,25,2,23,0,0
Assumption,"1,071",4,0,0,1,3,17,6,7,4,0
Athens,"1,913",2,0,0,0,2,9,2,7,0,0
Auburn,"4,664",4,0,0,0,4,3,0,3,0,0
Aurora,"199,784",516,12,59,89,356,"2,014",232,"1,638",144,17
Aviston,"2,128",1,0,1,0,0,6,0,5,1,0
Bannockburn,"1,605",0,0,0,0,0,32,2,30,0,0
Barrington,"10,268",2,0,0,0,2,87,14,66,7,0
Barrington Hills,"4,205",0,0,0,0,0,18,0,18,0,0
Barry,"1,244",2,0,1,1,0,15,1,14,0,0
Bartlett,"40,898",23,1,7,3,12,188,22,157,9,1
Bartonville,"6,137",22,0,8,8,6,179,28,127,24,0
Batavia,"26,330",33,0,7,11,15,337,15,317,5,0
Beardstown,"5,425",45,0,3,0,42,256,39,215,2,0
Bedford Park,602,9,0,3,0,6,388,2,366,20,0
Beecher,"4,471",8,0,2,2,4,24,0,22,2,0
Belgium,366,0,0,0,0,0,0,0,0,0,0
Belleville,"40,930",227,2,57,45,123,"1,093",213,778,102,13
Bellwood,"18,811",127,3,7,42,75,433,81,305,47,4
Belvidere,"25,143",64,0,15,7,42,258,39,202,17,1
Bensenville,"18,208",17,0,8,3,6,195,26,154,15,1
Berkeley,"5,056",6,0,0,1,5,64,1,60,3,1
Berwyn,"54,702",114,2,30,40,42,595,127,421,47,4
Bethalto,"9,270",10,3,3,2,2,75,10,61,4,0
Bethany,"1,258",1,0,0,0,1,12,5,7,0,0
Blandinsville,597,0,0,0,0,0,0,0,0,0,0
Bloomingdale,"21,872",19,0,8,3,8,432,25,396,11,0
Bloomington,"78,107",387,1,49,57,280,"1,096",171,851,74,8
Blue Island,"23,037",127,1,17,54,55,329,79,201,49,1
Blue Mound,"1,073",0,0,0,0,0,5,1,4,0,0
Bluffs,649,0,0,0,0,0,2,1,1,0,0
Bolingbrook,"75,394",123,1,28,19,75,650,65,501,84,0
Bourbonnais,"19,588",57,0,9,12,36,253,15,232,6,0
Bradley,"15,205",41,0,1,14,26,500,29,463,8,1
Braidwood,"6,199",10,0,5,0,5,34,4,30,0,0
Breese,"4,498",5,0,1,0,4,36,0,35,1,0
Bridgeview,"16,153",42,0,6,12,24,315,35,272,8,2
Brighton,"2,137",1,0,0,0,1,9,3,6,0,0
Broadview,"7,664",20,0,0,9,11,343,23,280,40,0
Brooklyn,700,16,0,1,2,13,12,2,6,4,1
Buffalo Grove,"40,768",11,2,2,2,5,288,35,245,8,1
Bunker Hill,"1,675",0,0,0,0,0,21,3,17,1,0
Burbank,"28,483",54,0,5,17,32,244,51,182,11,2
Burr Ridge,"10,828",7,0,1,2,4,160,20,129,11,0
Byron,"3,585",3,0,0,0,3,30,3,24,3,0
Cahokia,"13,864",83,3,15,15,50,629,195,376,58,6
Calumet City,"36,128",186,8,30,99,49,"1,040",158,680,202,4
Cambria,"1,281",1,0,0,0,1,5,2,3,0,0
Cambridge,"2,078",2,0,0,0,2,11,1,10,0,0
Campton Hills,"11,202",1,0,0,1,0,7,5,1,1,0
Canton,"13,600",39,0,11,1,27,130,64,57,9,1
Carbondale,"25,242",208,1,48,38,121,932,113,779,40,17
