City,Population,Violent crime,Murder and Non-Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Kirkland,"1,730",3,0,1,0,2,14,3,11,0,0
Lacon,"1,797",1,0,0,0,1,16,8,7,1,0
La Grange,"15,617",17,0,1,4,12,175,17,153,5,0
La Grange Park,"13,465",7,0,0,1,6,58,9,45,4,0
La Harpe,"1,190",3,0,1,0,2,13,5,7,1,0
Lake Bluff,"5,664",3,0,1,2,0,72,10,56,6,0
Lake in the Hills,"28,798",25,2,14,2,7,61,12,46,3,4
Lakemoor,"5,969",0,0,0,0,0,41,1,40,0,0
Lake Villa,"8,800",15,0,3,2,10,70,11,54,5,1
Lakewood,"3,878",2,0,1,0,1,13,1,12,0,0
Lake Zurich,"20,012",7,0,2,0,5,317,17,296,4,3
Lansing,"28,039",99,0,13,66,20,"1,948",225,"1,628",95,3
La Salle,"9,134",4,0,0,0,4,134,34,97,3,1
Lebanon,"4,427",6,0,4,0,2,48,23,22,3,1
Lemont,"17,035",5,0,3,1,1,104,25,74,5,0
Lenzburg,483,0,0,0,0,0,3,3,0,0,0
Le Roy,"3,547",5,0,0,1,4,35,10,24,1,0
Libertyville,"20,412",18,0,0,1,17,287,20,258,9,0
Lincoln,"13,887",43,0,0,6,37,321,65,246,10,0
Lincolnshire,"7,259",5,0,2,0,3,27,10,17,0,0
Lincolnwood,"12,515",20,1,0,5,14,531,106,402,23,1
Lindenhurst,"14,362",14,0,10,0,4,65,10,52,3,0
Lisle,"22,999",8,0,2,4,2,160,19,131,10,1
Litchfield,"6,761",8,0,1,0,7,237,36,191,10,3
Loami,750,0,0,0,0,0,14,7,7,0,0
Lockport,"25,280",7,0,3,1,3,213,20,187,6,0
Lombard,"43,885",38,0,5,12,21,943,79,845,19,3
Loves Park,"23,317",81,1,12,7,61,494,107,371,16,2
Lovington,"1,086",3,0,0,0,3,6,1,4,1,0
Lyons,"10,601",11,0,1,2,8,88,9,67,12,2
Machesney Park,"22,772",51,0,10,5,36,540,75,448,17,3
Macomb,"18,200",56,0,12,5,39,262,62,190,10,2
Mahomet,"8,441",3,0,0,1,2,54,7,43,4,0
Malta,"1,151",0,0,0,0,0,4,0,4,0,0
Manhattan,"7,625",5,0,1,0,4,35,2,33,0,0
Maple Park,"1,303",0,0,0,0,0,12,0,12,0,0
Marengo,"7,406",5,0,2,1,2,72,8,63,1,0
Marine,924,2,0,0,0,2,9,2,4,3,0
Marissa,"1,814",22,0,1,0,21,69,28,39,2,0
Maroa,"1,714",4,0,0,0,4,42,15,27,0,0
Marquette Heights,"2,703",2,0,1,0,1,8,3,5,0,0
Marseilles,"4,893",6,1,1,0,4,97,27,65,5,0
Marshall,"3,870",3,0,0,1,2,36,5,30,1,0
Martinsville,"1,128",0,0,0,0,0,11,1,10,0,0
Maryville,"7,968",12,0,0,2,10,67,6,57,4,0
Mascoutah,"8,034",6,0,3,0,3,50,7,43,0,0
Matteson,"19,107",160,0,12,19,129,518,52,429,37,0
Mattoon,"17,942",81,0,21,4,56,310,68,242,0,2
Maywood,"23,697",202,10,16,103,73,546,112,341,93,5
McCook,228,0,0,0,0,0,15,2,11,2,0
McCullom Lake,"1,006",0,0,0,0,0,0,0,0,0,0
McHenry,"26,540",51,0,25,3,23,395,25,362,8,0
McLean,802,1,0,0,0,1,5,2,3,0,0
Melrose Park,"25,195",71,2,7,17,45,295,55,197,43,0
Mendota,"7,124",9,0,1,0,8,128,22,101,5,0
Merrionette Park,"1,860",1,0,0,0,1,58,18,38,2,0
Metropolis,"6,238",42,0,8,9,25,379,64,299,16,3
Midlothian,"14,678",34,0,0,19,15,343,56,258,29,10
Milan,"5,017",21,0,4,2,15,131,24,106,1,0
Milledgeville,968,3,0,2,0,1,4,0,4,0,0
Millstadt,"3,859",3,0,2,0,1,22,3,19,0,0
Minier,"1,208",3,0,1,0,2,19,7,12,0,0
Minonk,"2,029",8,0,3,0,5,19,3,14,2,0
Mokena,"20,321",14,0,4,2,8,299,20,267,12,0
Moline,"42,042",224,0,31,20,173,"1,363",234,"1,083",46,7
Momence,"3,155",9,0,1,2,6,47,11,31,5,0
Monee,"5,064",8,1,2,3,2,68,31,33,4,0
Monmouth,"9,172",36,1,6,0,29,178,36,129,13,3
Montgomery,"19,720",31,1,7,2,21,364,33,317,14,4
Monticello,"5,591",5,0,1,0,4,32,5,27,0,0
Morris,"14,640",19,0,3,4,12,297,39,254,4,0
Morrison,"4,092",10,1,2,0,7,102,4,93,5,6
Morton,"16,287",22,0,9,1,12,144,54,82,8,0
Morton Grove,"23,220",17,0,1,6,10,308,70,224,14,0
Mount Carmel,"6,950",27,0,1,2,24,215,36,177,2,0
Mount Carroll,"1,593",0,0,0,0,0,13,6,6,1,0
Mount Morris,"2,829",1,0,0,0,1,13,1,12,0,0
Mount Olive,"1,985",4,0,0,0,4,17,5,10,2,0
Mount Prospect,"54,162",25,0,3,7,15,567,51,499,17,1
Mount Pulaski,"1,506",0,0,0,0,0,0,0,0,0,0
Mount Vernon,"15,117",182,2,17,22,141,404,157,230,17,12
Mount Zion,"5,857",11,0,3,1,7,44,7,37,0,1
Moweaqua,"1,723",0,0,0,0,0,14,2,12,0,0
Mundelein,"31,547",17,0,7,3,7,244,27,208,9,2
Murphysboro,"7,637",47,0,3,5,39,252,76,172,4,0
Naperville,"147,934",136,1,22,33,80,"1,716",129,"1,540",47,8
Neoga,"1,605",6,0,0,0,6,17,7,10,0,0
New Athens,"1,914",3,0,2,0,1,24,10,13,1,0
New Baden,"3,280",2,0,0,0,2,22,0,22,0,5
New Berlin,"1,345",0,0,0,0,0,14,3,11,0,0
New Lenox,"26,529",36,0,12,6,18,302,22,269,11,5
Newton,"2,780",0,0,0,0,0,32,7,21,4,0
Nokomis,"2,140",6,0,0,0,6,63,9,49,5,0
Normal,"54,540",128,1,42,20,65,"1,040",106,912,22,1
Norridge,"14,484",11,0,0,6,5,303,37,255,11,0
Norris City,"1,240",15,0,0,0,15,9,2,7,0,0
North Aurora,"17,542",30,0,6,8,16,280,23,251,6,0
Northbrook,"33,452",10,0,2,5,3,377,32,337,8,0
North Chicago,"29,553",93,2,21,20,50,61,30,24,7,0
Northfield,"5,459",4,0,0,0,4,84,14,63,7,0
Northlake,"12,401",18,0,1,10,7,294,16,263,15,2
North Riverside,"6,585",16,0,0,8,8,457,15,439,3,0
North Utica,"1,337",1,0,0,0,1,3,1,1,1,0
Oak Brook,"8,099",3,0,0,1,2,593,9,575,9,0
Oakbrook Terrace,"2,162",8,0,3,1,4,121,7,107,7,0
Oak Forest,"27,761",42,0,8,15,19,314,54,234,26,1
Oak Lawn,"56,178",97,2,6,41,48,673,89,570,14,4
Oak Park,"51,753",178,1,8,134,35,"1,453",311,"1,034",108,2
Oakwood,"1,495",2,0,1,0,1,14,6,8,0,0
Oblong,"1,414",3,0,2,0,1,16,8,8,0,1
O'Fallon,"29,085",54,0,11,8,35,605,80,512,13,3
Oglesby,"3,591",2,0,0,0,2,36,8,28,0,0
Okawville,"1,382",4,0,1,0,3,22,7,14,1,0
Olney,"8,928",34,0,6,1,27,362,55,295,12,4
Onarga,"1,294",1,0,0,0,1,0,0,0,0,0
Oregon,"3,517",14,0,6,0,8,93,10,79,4,0
Orion,"1,806",0,0,0,0,0,5,2,2,1,0
Orland Park,"59,227",35,1,4,7,23,"1,094",20,"1,059",15,0
Oswego,"35,273",22,0,13,4,5,353,23,319,11,1
Ottawa,"18,209",36,0,1,6,29,352,53,292,7,2
Palatine,"68,792",41,0,12,10,19,573,31,513,29,1
Palestine,"1,313",8,0,3,0,5,22,5,17,0,1
Palos Heights,"12,423",5,1,0,3,1,121,10,107,4,0
Palos Hills,"17,396",10,0,2,1,7,96,14,70,12,0
Palos Park,"4,837",1,0,0,1,0,23,5,17,1,0
Pana,"5,518",11,0,0,1,10,87,23,59,5,0
Paris,"8,352",46,0,3,4,39,115,51,53,11,4
Park City,"7,314",10,0,5,0,5,107,17,70,20,0
Park Forest,"21,750",67,1,15,27,24,328,70,217,41,3
Park Ridge,"37,492",15,0,1,9,5,278,57,212,9,3
Pawnee,"2,685",0,0,0,0,0,2,0,2,0,0
Paxton,"4,274",20,0,1,3,16,57,17,39,1,1
Pekin,"32,866",124,0,18,10,96,506,128,358,20,8
Peoria,"114,157",867,12,65,281,509,"4,810","1,119","3,357",334,44
Peoria Heights,"5,913",24,1,4,5,14,179,35,121,23,3
Peotone,"4,132",6,0,1,1,4,39,2,35,2,0
Peru,"9,829",19,0,6,5,8,156,27,126,3,0
Phoenix,"1,942",14,0,0,2,12,39,13,20,6,0
Pierron,547,0,0,0,0,0,0,0,0,0,0
Pinckneyville,"5,366",5,0,0,0,5,26,11,13,2,0
Pingree Grove,"8,005",4,0,2,0,2,32,1,30,1,1
Pittsfield,"4,452",5,0,1,0,4,53,10,43,0,0
Plainfield,"43,450",55,1,12,13,29,327,25,281,21,2
Plano,"11,438",3,0,3,0,0,110,13,92,5,2
Pleasant Hill,936,0,0,0,0,0,2,1,1,0,0
Pleasant Plains,798,2,0,0,0,2,2,0,2,0,0
Polo,"2,209",5,0,0,2,3,39,5,34,0,1
Pontiac,"11,813",40,0,0,10,30,177,33,139,5,1
Pontoon Beach,"5,572",8,0,1,2,5,95,22,65,8,0
Posen,"5,920",18,1,1,7,9,195,30,144,21,0
Potomac,704,1,0,1,0,0,4,2,2,0,0
Princeton,"7,550",10,0,0,3,7,133,23,108,2,0
Prophetstown,"1,978",0,0,0,0,0,0,0,0,0,0
Prospect Heights,"16,237",16,0,2,3,11,102,15,77,10,0
Quincy,"40,506",233,0,44,19,170,"1,194",222,930,42,7
Raleigh,343,1,0,0,0,1,10,2,8,0,0
Rankin,525,0,0,0,0,0,0,0,0,0,0
Rantoul,"12,791",41,0,8,17,16,315,79,220,16,4
Red Bud,"3,536",9,0,0,0,9,22,3,16,3,0
Richmond,"1,899",4,0,0,1,3,39,12,26,1,0
Richton Park,"13,542",41,0,6,23,12,369,60,269,40,2
Ridge Farm,833,1,0,0,0,1,4,1,3,0,0
Riverdale,"13,371",120,2,8,76,34,341,104,188,49,1
River Forest,"11,073",21,1,1,9,10,282,39,237,6,2
River Grove,"10,114",7,1,0,0,6,137,24,105,8,0
Riverside,"8,726",13,0,2,0,11,95,5,87,3,1
Riverton,"3,429",12,0,0,1,11,72,15,53,4,1
Riverwoods,"3,633",3,0,3,0,0,19,3,15,1,0
Robbins,"5,479",32,1,2,9,20,55,20,15,20,0
Rochester,"3,772",11,0,2,0,9,17,4,10,3,0
Rockdale,"1,935",1,0,0,0,1,15,1,11,3,0
Rock Falls,"8,927",18,0,1,2,15,100,32,66,2,0
Rockford,"146,770","2,331",18,113,427,"1,773","5,236","1,383","3,403",450,58
Rock Island,"38,079",133,3,5,10,115,"1,060",198,754,108,3
Rockton,"7,469",5,0,2,0,3,117,6,111,0,0
Rolling Meadows,"24,005",22,0,4,7,11,335,28,294,13,1
Romeoville,"39,710",58,1,13,15,29,555,53,477,25,2
Roscoe,"10,478",3,0,0,0,3,90,20,68,2,0
Roselle,"22,824",13,0,5,4,4,169,27,132,10,2
Rosemont,"4,162",33,0,5,7,21,388,5,375,8,27
Round Lake,"18,382",19,0,4,2,13,105,20,78,7,0
Round Lake Beach,"27,710",44,0,7,3,34,559,37,508,14,2
Round Lake Heights,"2,701",5,0,0,1,4,23,3,19,1,0
Round Lake Park,"7,532",15,0,0,0,15,63,22,40,1,0
Roxana,"1,463",6,0,2,0,4,30,8,19,3,1
Royalton,"1,122",1,0,0,0,1,3,1,2,0,0
Ruma,313,0,0,0,0,0,2,0,2,0,0
Rushville,"2,875",5,0,1,0,4,32,3,28,1,0
Salem,"7,202",28,0,4,2,22,391,78,306,7,0
Sandoval,"1,211",10,0,2,2,6,43,9,27,7,30
Sandwich,"7,349",9,0,0,1,8,37,2,34,1,0
San Jose,604,1,0,1,0,0,0,0,0,0,0
Sauget,150,1,0,0,1,0,46,6,31,9,0
Sauk Village,"10,418",72,1,4,30,37,179,49,91,39,3
Schaumburg,"74,471",79,2,13,31,33,"1,244",92,"1,103",49,0
Schiller Park,"11,674",25,1,7,4,13,169,23,126,20,0
Seneca,"2,267",7,0,0,0,7,57,6,51,0,0
