City,Population,Violent crime,Murder and Non-Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Addison,"36,883",41,2,8,11,20,566,85,454,27,1
Albany,879,4,0,4,0,0,6,3,3,0,0
Aledo,"3,496",0,0,0,0,0,25,2,22,1,0
Alexis,794,0,0,0,0,0,16,13,3,0,0
Algonquin,"31,096",21,0,5,3,13,375,28,338,9,2
Alsip,"19,137",20,1,0,19,0,486,72,365,49,3
Altamont,"2,292",2,0,0,0,2,25,8,16,1,0
Alton,"26,693",169,1,22,34,112,"1,064",214,784,66,9
Amboy,"2,308",2,0,1,1,0,40,5,35,0,0
Anna,"4,244",11,0,3,0,8,121,20,98,3,2
Annawan,851,1,0,0,0,1,22,3,19,0,0
Antioch,"14,242",27,0,4,5,18,190,24,163,3,0
Arlington Heights,"75,586",44,0,9,14,21,654,77,550,27,6
Aroma Park,698,0,0,0,0,0,17,5,12,0,0
Arthur,"2,265",2,0,0,0,2,10,2,8,0,0
Ashland,"1,224",0,0,0,0,0,22,14,5,3,0
Ashton,898,0,0,0,0,0,3,2,1,0,0
Assumption,"1,094",2,0,0,0,2,14,8,6,0,0
Athens,"1,944",0,0,0,0,0,12,3,9,0,0
Auburn,"4,741",12,0,2,2,8,49,16,32,1,0
Aurora,"201,599",521,6,57,108,350,"2,665",366,"2,123",176,20
Aviston,"2,119",1,0,0,0,1,4,2,2,0,0
Bannockburn,"1,573",0,0,0,0,0,18,2,16,0,0
Barrington,"10,309",8,0,3,0,5,108,8,94,6,1
Barrington Hills,"4,221",0,0,0,0,0,24,4,18,2,0
Barry,"1,260",0,0,0,0,0,14,7,7,0,0
Bartlett,"41,167",19,1,4,6,8,214,20,187,7,7
Bartonville,"6,311",21,0,7,1,13,183,25,146,12,0
Batavia,"26,425",33,0,7,6,20,415,8,400,7,1
Beardstown,"5,582",58,0,0,0,58,161,43,117,1,1
Bedford Park,581,25,1,1,12,11,275,15,247,13,0
Beecher,"4,459",3,0,1,0,2,47,2,43,2,0
Belgium,393,0,0,0,0,0,2,0,2,0,0
Belleville,"41,511",212,1,34,57,120,"1,386",325,987,74,13
Belvidere,"24,991",69,1,11,9,48,354,58,281,15,3
Bensenville,"18,353",25,1,13,5,6,265,28,213,24,0
Berkeley,"5,138",11,0,3,5,3,89,8,72,9,0
Berwyn,"55,594",141,1,21,57,62,"1,117",218,779,120,5
Bethalto,"9,296",4,0,0,1,3,166,30,130,6,0
Blandinsville,606,1,0,0,0,1,3,1,2,0,0
Bloomingdale,"22,075",16,0,2,9,5,585,29,551,5,1
Bloomington,"78,203",343,3,73,45,222,"1,334",220,"1,037",77,7
Blue Island,"23,348",161,1,16,47,97,420,64,282,74,2
Bluffs,666,0,0,0,0,0,9,5,4,0,0
Bolingbrook,"74,692",140,1,34,27,78,735,69,596,70,4
Bourbonnais,"18,474",43,0,10,12,21,232,31,195,6,0
Bradley,"15,405",47,0,0,12,35,465,37,420,8,0
Braidwood,"6,145",3,1,1,0,1,39,7,32,0,0
Bridgeview,"16,213",61,1,9,17,34,339,27,291,21,0
Brighton,"2,173",5,0,0,0,5,13,3,7,3,0
Broadview,"7,807",38,1,11,18,8,382,21,338,23,1
Brookfield,"18,715",12,0,5,4,3,228,34,188,6,0
Brookport,919,4,0,1,1,2,18,8,10,0,0
Buffalo Grove,"41,323",10,0,1,5,4,222,24,194,4,14
Bunker Hill,"1,702",4,0,0,0,4,18,4,13,1,0
Burbank,"28,876",59,0,2,18,39,306,43,245,18,1
Burr Ridge,"10,813",9,0,1,2,6,125,19,97,9,1
Byron,"3,604",0,0,0,0,0,42,5,35,2,0
Cahokia,"14,105",67,3,8,33,23,613,160,410,43,6
Calumet City,"36,663",237,4,21,146,66,"1,083",223,688,172,15
Cambridge,"2,089",0,0,0,0,0,19,6,12,1,0
Campton Hills,"11,342",0,0,0,0,0,18,5,13,0,0
Canton,"13,996",33,0,9,2,22,243,34,201,8,0
Carbondale,"26,127",135,4,33,35,63,868,143,698,27,17
Carlinville,"5,585",13,0,3,1,9,184,30,150,4,1
Carlyle,"3,195",5,0,0,0,5,49,2,46,1,0
Carol Stream,"40,118",53,0,8,19,26,355,29,309,17,1
Carpentersville,"38,380",33,0,5,16,12,747,58,665,24,1
Carrollton,"2,411",7,0,2,0,5,45,14,30,1,0
Carterville,"5,900",14,0,2,1,11,53,23,25,5,0
Carthage,"2,537",1,0,1,0,0,24,2,21,1,0
Cary,"17,768",21,0,5,3,13,65,19,46,0,2
Catlin,"1,971",0,0,0,0,0,4,0,4,0,0
Centralia,"12,496",183,0,24,37,122,491,131,326,34,7
Centreville,"4,988",45,2,3,15,25,222,69,111,42,1
Chadwick,518,0,0,0,0,0,9,3,6,0,0
Champaign,"87,543",634,5,83,109,437,"2,623",446,"2,054",123,10
Channahon,"12,603",9,0,6,3,0,56,7,40,9,0
Charleston,"21,016",44,2,4,1,37,113,35,72,6,0
Chatham,"12,592",13,0,6,1,6,104,23,80,1,0
Chenoa,"3,167",3,0,2,0,1,19,5,14,0,0
Cherry Valley,"3,075",7,0,1,1,5,202,6,192,4,0
Chester,"8,559",13,0,3,0,10,24,8,13,3,0
Chicago,"2,706,171","29,737",653,"1,762","11,887","15,435","88,324","12,912","63,834","11,578",514
Chicago Heights,"29,967",282,9,32,118,123,702,218,363,121,9
Chicago Ridge,"14,222",18,0,2,5,11,452,20,409,23,1
Chillicothe,"6,225",20,0,3,0,17,123,11,109,3,0
Christopher,"2,746",9,0,0,0,9,25,10,15,0,1
Cicero,"82,779",301,6,37,146,112,"1,840",434,"1,245",161,18
Clarendon Hills,"8,689",11,0,0,2,9,47,8,31,8,1
Coal City,"5,409",7,0,1,0,6,29,6,21,2,0
Coal Valley,"3,721",7,0,0,0,7,22,6,15,1,0
Cobden,"1,119",7,0,0,0,7,10,2,7,1,0
Colfax,"1,032",2,0,0,0,2,12,2,9,1,0
Collinsville,"24,487",55,1,14,12,28,610,85,507,18,3
Columbia,"10,369",8,0,0,0,8,73,16,55,2,1
Cortland,"4,331",3,0,0,0,3,57,8,49,0,0
Country Club Hills,"16,651",73,1,9,32,31,502,61,403,38,8
Countryside,"5,951",5,0,0,1,4,207,9,186,12,0
Cowden,572,3,0,0,0,3,2,0,2,0,0
Crest Hill,"21,223",55,0,16,15,24,235,46,168,21,0
Crete,"8,151",23,0,4,7,12,138,20,111,7,1
Creve Coeur,"5,192",43,1,6,1,35,85,17,66,2,0
Crystal Lake,"40,228",53,2,11,9,31,586,39,540,7,1
Danvers,"1,121",1,0,0,0,1,1,0,1,0,0
Danville,"31,368",546,10,36,88,412,"1,833",456,"1,306",71,9
Darien,"22,081",14,0,0,5,9,242,25,202,15,2
Decatur,"72,153",443,10,52,106,275,"2,394",731,"1,571",92,30
Deer Creek,670,0,0,0,0,0,2,1,1,0,0
Deerfield,"19,126",5,0,1,2,2,130,21,101,8,0
De Kalb,"43,043",189,1,40,30,118,"1,323",156,"1,130",37,7
Delavan,"1,625",3,0,0,0,3,47,13,30,4,5
De Pue,"1,710",0,0,0,0,0,17,3,14,0,0
De Soto,"1,559",7,0,1,1,5,15,6,9,0,0
Des Plaines,"58,089",61,1,7,10,43,565,79,454,32,2
Diamond,"2,461",0,0,0,0,0,3,2,1,0,0
Divernon,"1,139",1,0,0,0,1,5,0,5,0,0
Dixon,"15,044",28,0,17,1,10,317,28,280,9,0
Downers Grove,"49,563",35,0,8,11,16,634,84,528,22,2
Dupo,"3,848",6,0,0,1,5,96,19,70,7,0
Du Quoin,"5,808",22,0,2,1,19,70,21,49,0,1
Earlville,"1,606",0,0,0,0,0,31,6,24,1,0
East Alton,"6,116",32,1,13,3,15,182,31,141,10,0
East Dubuque,"1,620",4,0,1,0,3,19,6,10,3,0
East Dundee,"3,239",6,0,0,3,3,63,8,52,3,0
East Hazel Crest,"1,530",3,0,0,2,1,42,20,16,6,0
East Moline,"21,106",82,1,22,11,48,478,105,337,36,4
East Peoria,"22,856",97,0,25,10,62,684,164,504,16,2
East St. Louis,"26,927",741,30,43,97,571,590,173,273,144,14
Edwardsville,"25,190",23,0,0,5,18,270,35,220,15,0
Effingham,"12,710",18,0,5,1,12,379,54,311,14,1
Elburn,"5,782",2,0,1,0,1,15,1,13,1,0
Elgin,"112,767",224,2,38,56,128,"1,579",195,"1,310",74,8
Elizabeth,735,3,1,0,0,2,3,0,2,1,0
Elk Grove Village,"32,894",35,2,0,5,28,419,42,339,38,1
Elmhurst,"46,763",34,0,3,9,22,554,56,474,24,1
Elmwood,"2,073",0,0,0,0,0,27,11,16,0,0
Elmwood Park,"24,581",59,0,6,17,36,301,44,238,19,1
El Paso,"2,773",4,0,1,0,3,29,4,22,3,0
Elwood,"2,252",0,0,0,0,0,38,4,28,6,0
Energy,"1,141",0,0,0,0,0,13,1,11,1,0
Erie,"1,526",1,0,1,0,0,3,0,3,0,0
Essex,761,0,0,0,0,0,0,0,0,0,0
Eureka,"5,393",21,0,3,1,17,55,8,42,5,0
Evanston,"74,947",122,1,3,40,78,"1,769",284,"1,422",63,8
Evergreen Park,"19,600",48,1,4,20,23,596,25,563,8,0
Fairbury,"3,577",13,0,2,0,11,33,8,23,2,0
Fairfield,"5,004",7,0,1,0,6,108,13,93,2,3
Fairmont City,"2,458",2,0,1,1,0,23,6,13,4,0
Fairmount,604,0,0,0,0,0,0,0,0,0,0
Fairview Heights,"16,618",47,0,5,5,37,720,60,633,27,0
Farmersville,689,0,0,0,0,0,1,0,1,0,0
Farmington,"2,293",6,0,0,1,5,43,7,36,0,0
Findlay,644,0,0,0,0,0,4,1,3,0,0
Fisher,"1,943",1,0,0,0,1,16,3,13,0,0
Fithian,458,0,0,0,0,0,1,0,1,0,0
Flora,"4,870",3,0,0,0,3,106,13,92,1,0
Flossmoor,"9,347",13,0,7,3,3,206,20,181,5,0
Forest Park,"13,950",75,1,13,32,29,455,62,321,72,0
Forest View,682,2,0,0,0,2,40,3,21,16,0
Fox Lake,"10,432",31,0,3,5,23,260,41,205,14,0
Fox River Grove,"4,628",8,0,0,2,6,44,6,35,3,0
Frankfort,"19,034",7,0,1,0,6,157,15,131,11,1
Franklin Grove,948,2,0,2,0,0,5,2,3,0,0
Freeburg,"4,211",2,0,0,0,2,40,2,36,2,0
Freeport,"24,196",59,2,25,13,19,820,146,662,12,6
Fulton,"3,309",1,0,0,0,1,48,12,36,0,0
Galena,"3,229",6,0,1,0,5,43,8,35,0,0
Galesburg,"30,759",96,0,16,7,73,549,110,423,16,4
Geneseo,"6,511",7,0,2,0,5,62,15,46,1,1
Geneva,"21,941",9,0,3,2,4,181,30,149,2,3
Genoa,"5,196",4,0,0,0,4,64,8,54,2,0
Georgetown,"3,286",14,0,0,1,13,83,25,54,4,0
Germantown,"1,286",2,0,0,0,2,8,0,7,1,0
Gibson City,"3,372",6,0,1,0,5,24,8,16,0,0
Gifford,"1,097",0,0,0,0,0,4,1,3,0,0
Gilberts,"7,869",1,0,0,0,1,57,5,49,3,0
Gilman,"1,718",2,0,0,1,1,65,7,57,1,0
Girard,"2,008",8,0,0,0,8,9,2,7,0,1
Glasford,991,0,0,0,0,0,0,0,0,0,0
Glen Carbon,"12,984",7,1,0,3,3,90,16,70,4,2
Glencoe,"8,922",3,0,1,2,0,67,8,52,7,0
Glendale Heights,"34,128",26,2,0,9,15,442,28,388,26,2
Glen Ellyn,"28,083",20,0,4,7,9,342,30,299,13,0
Glenview,"47,944",35,0,2,9,24,568,93,456,19,1
Glenwood,"8,897",13,1,0,5,7,60,24,31,5,1
Godley,712,1,0,1,0,0,5,3,1,1,0
Golf,494,0,0,0,0,0,0,0,0,0,0
Goodfield,"1,004",0,0,0,0,0,77,0,77,0,0
Grafton,635,2,0,0,0,2,12,6,6,0,0
Grand Ridge,525,0,0,0,0,0,2,0,2,0,0
Grandview,"1,420",5,0,0,0,5,25,10,14,1,0
Granite City,"28,755",217,1,27,33,156,908,289,525,94,22
Grantfork,327,0,0,0,0,0,2,0,1,1,0
Grayslake,"20,818",23,1,5,7,10,208,28,174,6,2
Grayville,"1,616",10,0,0,0,10,37,4,30,3,0
Greenfield,982,5,0,0,0,5,28,10,17,1,0
Greenup,"1,485",0,0,0,0,0,18,5,13,0,0
Greenville,"6,713",7,0,0,0,7,102,5,91,6,0
Gurnee,"30,902",47,1,18,10,18,"1,199",69,"1,104",26,1
Hainesville,"3,660",7,1,1,2,3,44,7,37,0,1
Hampshire,"6,367",16,1,1,1,13,29,6,22,1,0
Hampton,"1,812",1,0,0,0,1,49,30,17,2,0
Hanover Park,"38,053",40,0,7,7,26,236,36,186,14,3
Harrisburg,"8,775",100,1,7,7,85,297,103,188,6,0
Hartford,"1,370",4,0,2,1,1,23,1,22,0,0
Harvard,"9,067",11,1,6,1,3,73,8,64,1,1
Harwood Heights,"8,538",12,0,0,3,9,158,11,137,10,0
Havana,"2,988",17,0,8,0,9,60,13,44,3,0
Hawthorn Woods,"8,234",2,0,1,0,1,20,3,15,2,0
Hazel Crest,"13,871",74,0,5,53,16,333,103,164,66,1
Henning,242,0,0,0,0,0,0,0,0,0,0
Henry,"2,291",9,0,2,0,7,35,5,28,2,1
Herrin,"13,020",30,1,4,12,13,478,135,304,39,3
Herscher,"1,536",0,0,0,0,0,2,1,1,0,0
Hickory Hills,"13,980",26,1,9,7,9,138,10,111,17,1
Highland,"9,809",8,0,0,0,8,43,11,30,2,0
Highland Park,"29,618",15,0,2,3,10,341,40,275,26,1
Highwood,"5,307",3,0,1,1,1,45,8,35,2,0
Hillsboro,"6,052",20,0,4,0,16,52,10,40,2,4
Hillsdale,503,0,0,0,0,0,2,2,0,0,0
Hillside,"8,066",17,0,1,6,10,280,27,233,20,0
Hinckley,"2,055",3,0,0,0,3,9,1,8,0,0
Hinsdale,"17,765",6,1,3,1,1,118,22,84,12,0
Hodgkins,"1,840",3,0,0,0,3,250,2,244,4,0
Hoffman Estates,"51,704",50,0,8,14,28,466,50,386,30,1
Homer,"1,176",0,0,0,0,0,2,0,2,0,0
Homer Glen,"24,516",4,0,2,2,0,135,8,124,3,0
Hometown,"4,289",5,0,0,3,2,28,2,26,0,0
Homewood,"19,150",40,0,8,21,11,781,44,713,24,0
Hoopeston,"5,106",46,0,15,2,29,187,65,112,10,1
Hudson,"1,837",1,0,0,0,1,6,3,3,0,0
Huntley,"27,002",5,0,0,2,3,168,19,143,6,0
Ina,"2,335",1,0,0,0,1,4,0,4,0,0
Indian Head Park,"3,799",0,0,0,0,0,17,1,13,3,0
Indianola,266,0,0,0,0,0,0,0,0,0,0
Island Lake,"8,076",5,0,4,1,0,51,9,42,0,0
Itasca,"8,739",6,0,2,4,0,63,13,46,4,0
Jacksonville,"18,615",73,0,6,8,59,669,93,557,19,4
Jerseyville,"8,315",19,1,6,0,12,136,36,92,8,0
Johnsburg,"6,251",3,0,0,0,3,128,8,115,5,0
Joliet,"148,342",540,15,67,159,299,"2,625",446,"2,014",165,79
Jonesboro,"1,738",1,0,0,0,1,15,2,13,0,0
Kankakee,"26,265",210,6,35,68,101,"1,049",198,800,51,10
Kansas,729,2,0,0,0,2,7,2,5,0,0
Kenilworth,"2,522",1,0,0,1,0,24,3,20,1,0
Kewanee,"12,386",49,1,20,0,28,473,37,431,5,0
Kildeer,"4,072",1,0,0,0,1,17,3,13,1,0
Kincaid,"1,405",3,0,1,0,2,21,4,13,4,0
Kingston,"1,160",1,0,0,0,1,4,3,0,1,0
