City,Population,Violent crime,Murder and Non-Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Lake Bluff,"5,695",1,0,0,0,1,54,7,46,1,0
Lake Forest,"19,376",4,0,0,0,4,143,32,111,0,0
Lake in the Hills,"28,868",19,0,5,0,14,129,13,116,0,1
Lakemoor,"6,002",1,0,0,0,1,29,4,25,0,0
Lake Villa,"8,859",8,0,1,1,6,71,6,65,0,2
Lakewood,"3,800",1,0,1,0,0,4,0,4,0,0
Lake Zurich,"20,143",8,0,1,2,5,288,26,262,0,2
Lansing,"28,555",84,3,8,55,18,"1,399",177,"1,152",70,3
La Salle,"9,256",5,0,0,0,5,235,30,202,3,0
Lawrenceville,"4,392",15,0,1,0,14,74,33,33,8,0
Lemont,"16,801",5,0,3,1,1,176,21,147,8,4
Lenzburg,493,1,0,0,0,1,7,3,4,0,0
Le Roy,"3,611",4,0,1,0,3,61,17,41,3,0
Libertyville,"20,555",12,0,0,3,9,220,24,193,3,0
Lincoln,"14,082",41,0,4,9,28,342,53,274,15,2
Lincolnshire,"7,295",1,0,0,0,1,50,7,41,2,1
Lincolnwood,"12,710",12,0,0,6,6,391,47,332,12,1
Lindenhurst,"14,484",3,0,3,0,0,64,7,57,0,0
Lisle,"22,917",17,0,8,6,3,193,32,156,5,1
Litchfield,"6,882",7,0,0,1,6,229,33,189,7,1
Lockport,"25,166",10,0,3,2,5,231,34,191,6,2
Lombard,"44,008",48,0,11,16,21,855,77,766,12,3
Loves Park,"23,440",80,0,8,18,54,612,106,472,34,3
Lovington,"1,104",2,0,0,0,2,11,1,10,0,0
Lyons,"10,783",12,0,2,3,7,122,14,99,9,1
Machesney Park,"22,923",68,1,11,6,50,408,91,300,17,2
Macomb,"18,859",71,0,15,3,53,269,55,207,7,2
Mahomet,"8,130",8,0,4,0,4,51,11,38,2,0
Malta,"1,158",0,0,0,0,0,1,0,1,0,0
Manhattan,"7,357",6,0,0,0,6,22,3,18,1,1
Maple Park,"1,314",0,0,0,0,0,9,0,9,0,0
Marengo,"7,472",3,0,1,0,2,77,15,59,3,1
Marine,934,1,0,0,0,1,12,5,6,1,0
Marissa,"1,859",12,0,3,0,9,36,6,28,2,7
Maroa,"1,745",4,0,0,0,4,10,4,6,0,0
Marquette Heights,"2,782",2,0,0,0,2,17,2,15,0,0
Marseilles,"4,965",9,0,2,0,7,71,11,60,0,0
Marshall,"3,920",1,0,0,0,1,23,5,17,1,0
Martinsville,"1,148",3,0,1,0,2,31,4,27,0,0
Maryville,"7,902",8,0,3,0,5,82,15,64,3,0
Mascoutah,"7,951",3,0,1,0,2,38,9,29,0,0
Matteson,"19,190",51,0,4,28,19,597,71,486,40,0
Mattoon,"18,123",83,0,23,4,56,365,75,286,4,7
Maywood,"24,141",235,13,24,85,113,631,221,312,98,5
McCook,232,2,0,0,0,2,33,7,22,4,0
McCullom Lake,"1,020",0,0,0,0,0,1,1,0,0,0
McHenry,"26,534",38,0,6,4,28,280,24,250,6,0
McLean,821,1,0,0,0,1,7,3,4,0,0
Melrose Park,"25,532",31,3,5,9,14,284,43,200,41,1
Mendota,"7,227",5,0,1,1,3,98,33,65,0,1
Metropolis,"6,349",39,0,6,3,30,292,52,228,12,0
Midlothian,"14,932",27,2,3,15,7,359,121,225,13,2
Milan,"5,090",12,0,3,2,7,92,17,75,0,0
Milledgeville,979,0,0,0,0,0,10,2,7,1,0
Millstadt,"3,907",3,0,0,0,3,24,2,22,0,0
Mokena,"19,618",14,0,4,3,7,238,23,211,4,1
Moline,"42,482",179,1,28,19,131,"1,294",174,"1,105",15,3
Monmouth,"9,548",36,0,7,4,25,179,29,148,2,1
Montgomery,"19,520",23,0,12,3,8,245,35,209,1,1
Monticello,"5,509",4,0,0,0,4,34,8,26,0,0
Morris,"14,258",14,0,3,2,9,305,53,248,4,9
Morrison,"4,124",9,0,4,0,5,24,3,20,1,0
Morton,"16,554",8,0,1,0,7,125,24,98,3,0
Morton Grove,"23,548",12,0,0,5,7,253,53,192,8,0
Mount Carmel,"6,975",22,0,0,0,22,113,23,88,2,4
Mount Carroll,"1,615",1,0,0,0,1,37,4,33,0,0
Mount Olive,"2,014",3,0,0,0,3,4,1,3,0,0
Mount Prospect,"55,119",37,0,3,12,22,502,54,433,15,0
Mount Pulaski,"1,519",3,0,0,0,3,2,1,1,0,0
Mount Vernon,"15,154",203,2,19,31,151,912,196,704,12,17
Mount Zion,"5,899",8,0,2,0,6,30,6,22,2,0
Moweaqua,"1,764",2,0,0,0,2,9,2,6,1,0
Mundelein,"31,687",19,0,10,3,6,287,30,249,8,3
Murphysboro,"7,770",33,0,3,7,23,327,58,269,0,0
Naperville,"147,101",128,0,14,27,87,"1,652",161,"1,458",33,3
