City,Population,Violent crime,Murder and Non-Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Addison,"37,246",50,0,4,18,28,653,77,536,40,2
Albany,887,0,0,0,0,0,39,23,16,0,0
Aledo,"3,549",0,0,0,0,0,37,5,32,0,0
Alexis,805,0,0,0,0,0,12,2,9,1,0
Algonquin,"30,673",12,0,4,1,7,381,30,349,2,1
Alsip,"19,357",19,0,0,19,0,546,109,407,30,1
Altamont,"2,306",1,0,0,0,1,33,12,20,1,0
Alton,"26,829",143,2,28,31,82,"1,073",266,761,46,5
Amboy,"2,330",2,0,1,0,1,22,5,17,0,0
Anna,"4,300",15,0,0,4,11,112,12,97,3,0
Annawan,854,0,0,0,0,0,10,3,7,0,0
Antioch,"14,302",25,0,10,3,12,201,24,168,9,0
Arlington Heights,"76,077",58,0,8,14,36,722,79,624,19,3
Arthur,"2,288",5,0,1,0,4,20,2,17,1,0
Ashland,"1,241",0,0,0,0,0,5,1,4,0,0
Assumption,"1,106",3,0,0,0,3,14,8,6,0,0
Athens,"1,928",2,0,0,0,2,23,3,20,0,0
Auburn,"4,788",3,0,2,0,1,76,21,53,2,0
Aurora,"201,159",631,7,57,130,437,"2,867",441,"2,259",167,21
Aviston,"2,108",2,0,0,0,2,4,0,4,0,0
Bannockburn,"1,569",0,0,0,0,0,14,0,14,0,0
Barrington,"10,357",3,1,1,0,1,76,7,65,4,0
Barrington Hills,"4,256",0,0,0,0,0,23,1,22,0,0
Barry,"1,266",3,0,0,0,3,22,5,15,2,0
Bartlett,"41,600",32,0,1,8,23,250,17,226,7,3
Bartonville,"6,367",33,0,3,4,26,176,28,141,7,0
Batavia,"26,558",26,0,3,3,20,414,15,394,5,6
Beardstown3,"5,664",62,0,2,1,59,,,,0,0
Beecher,"4,465",3,0,0,2,1,26,1,23,2,1
Belgium,398,0,0,0,0,0,2,0,2,0,0
Belleville,"41,638",253,1,30,51,171,"1,659",471,"1,108",80,9
Bellwood,"19,353",103,2,14,46,41,406,102,264,40,2
Belvidere,"25,049",65,0,19,3,43,280,42,227,11,6
Bensenville,"18,454",21,1,7,8,5,291,56,209,26,0
Berkeley,"5,201",10,0,1,4,5,87,15,69,3,0
Berwyn,"56,305",170,2,15,73,80,"1,235",273,889,73,3
Bethalto,"9,314",9,0,2,6,1,115,10,101,4,0
Blandinsville,614,0,0,0,0,0,3,0,3,0,0
Bloomington,"78,604",307,0,42,59,206,"1,347",224,"1,064",59,11
Blue Island,"23,637",115,1,11,49,54,567,127,381,59,1
Bluffs,670,0,0,0,0,0,0,0,0,0,0
Bolingbrook,"74,471",158,2,23,18,115,944,111,782,51,3
Bourbonnais,"18,552",20,0,0,1,19,353,33,316,4,0
Bradley,"15,561",40,0,6,14,20,512,51,447,14,0
Braidwood,"6,160",6,0,0,2,4,66,10,56,0,0
Breese,"4,517",5,0,0,0,5,40,0,40,0,0
Bridgeview,"16,397",48,1,3,17,27,446,44,372,30,5
Brighton,"2,186",4,0,2,0,2,11,1,8,2,0
Broadview,"7,914",26,1,1,17,7,375,38,305,32,0
Brookfield,"18,935",15,1,6,2,6,267,67,189,11,3
Buffalo Grove,"41,511",13,0,2,4,7,208,26,166,16,0
Bunker Hill,"1,705",3,0,0,0,3,15,4,9,2,0
Burbank,"29,165",70,0,5,22,43,404,65,299,40,1
Burnham,"4,209",12,2,0,7,3,97,27,52,18,0
Burr Ridge,"10,863",2,0,1,0,1,89,7,73,9,0
Byron,"3,628",2,0,0,0,2,51,6,43,2,0
Cahokia,"14,242",64,2,5,36,21,668,186,449,33,6
Cairo,"2,402",69,0,0,4,65,93,25,66,2,2
Calumet City,"37,022",211,9,16,137,49,"1,358",307,869,182,12
Cambria,"1,272",4,0,1,0,3,5,3,2,0,1
Cambridge,"2,104",3,1,0,0,2,17,5,12,0,0
Camp Point,"1,123",0,0,0,0,0,1,0,1,0,0
Campton Hills,"11,390",4,0,3,0,1,35,8,27,0,0
Canton,"14,116",14,0,2,4,8,194,42,147,5,2
Carbondale,"26,373",138,3,32,38,65,844,171,649,24,2
Carlinville,"5,615",19,0,0,0,19,203,43,157,3,0
Carlyle,"3,211",10,0,0,2,8,59,5,53,1,0
Carol Stream,"40,473",36,0,3,7,26,306,32,251,23,5
Carpentersville,"38,664",31,1,14,12,4,668,113,539,16,3
Carrollton,"2,418",15,0,3,0,12,27,3,24,0,0
Carterville,"5,881",8,0,1,0,7,55,11,39,5,0
Carthage,"2,534",1,0,0,0,1,20,12,7,1,0
Cary,"17,903",20,0,1,1,18,75,17,54,4,1
Caseyville,"4,003",31,0,4,5,22,106,25,72,9,0
Catlin,"2,000",3,0,0,0,3,8,6,2,0,0
Centreville,"4,970",91,1,6,15,69,172,70,83,19,0
Champaign,"87,071",625,3,41,124,457,"2,838",728,"1,979",131,3
Channahon,"12,597",1,0,0,0,1,34,6,27,1,0
Charleston,"21,067",79,0,4,12,63,121,40,76,5,1
Chatham,"12,497",16,0,2,0,14,71,12,56,3,0
Chenoa,"3,199",4,0,0,1,3,18,3,15,0,0
Cherry Valley,"3,086",18,0,4,1,13,240,9,227,4,0
Chester,"8,590",18,1,1,0,16,54,4,49,1,0
Chicago,"2,725,153","30,126",765,"1,589","11,957","15,815","86,960","14,258","61,229","11,473",590
Chicago Heights,"30,273",175,6,28,74,67,805,126,597,82,37
Chicago Ridge,"14,383",29,0,2,18,9,575,22,531,22,1
Chillicothe,"6,253",21,0,5,3,13,106,10,94,2,0
Christopher,"2,771",2,1,1,0,0,18,5,13,0,0
Cicero,"83,807",264,1,17,148,98,"1,713",284,"1,147",282,28
Clarendon Hills,"8,724",6,0,0,1,5,32,9,23,0,1
Coal City,"5,469",5,0,0,1,4,72,6,66,0,0
Coal Valley,"3,753",4,0,1,0,3,51,18,33,0,0
Cobden,"1,136",4,0,0,0,4,13,5,7,1,0
Colchester,"1,325",0,0,0,0,0,0,0,0,0,0
Collinsville,"24,599",53,0,10,9,34,736,109,586,41,2
Colona,"5,096",6,0,0,0,6,61,18,42,1,0
Columbia,"10,288",1,0,0,0,1,79,22,52,5,0
Cortland,"4,331",2,0,0,0,2,51,2,49,0,0
Country Club Hills,"16,844",74,1,6,44,23,416,55,332,29,2
Countryside,"6,015",7,0,0,0,7,200,8,181,11,0
Cowden,577,0,0,0,0,0,5,1,3,1,0
Crest Hill,"21,211",28,0,5,9,14,212,41,157,14,3
Crete,"8,171",16,0,0,5,11,140,27,108,5,0
Creve Coeur,"5,235",45,0,2,4,39,154,20,130,4,0
Crystal Lake,"40,374",44,0,8,4,32,624,56,561,7,3
Danville,"31,931",502,0,47,88,367,"1,894",646,"1,185",63,7
Darien,"22,285",6,0,3,2,1,366,47,309,10,1
Davis,635,0,0,0,0,0,0,0,0,0,0
Decatur,"72,694",392,3,45,97,247,"2,657",859,"1,700",98,16
Deer Creek,678,1,0,0,1,0,6,1,5,0,0
Deerfield,"19,176",5,0,1,1,3,123,17,103,3,0
De Kalb,"43,034",223,3,53,34,133,"1,438",203,"1,203",32,8
Delavan,"1,622",5,0,0,0,5,50,9,34,7,2
De Pue,"1,726",0,0,0,0,0,20,4,16,0,0
De Soto,"1,571",10,0,0,0,10,21,4,16,1,1
Des Plaines,"58,726",45,0,6,11,28,537,91,423,23,6
Diamond,"2,480",0,0,0,0,0,5,0,5,0,0
Divernon,"1,153",3,0,0,2,1,8,3,5,0,0
Dixon,"15,246",20,0,12,4,4,272,23,243,6,0
Downers Grove,"49,894",33,0,7,7,19,651,66,555,30,3
Dupo,"3,881",19,1,1,0,17,95,36,51,8,0
Du Quoin,"5,919",18,0,0,2,16,62,17,44,1,0
Dwight,"4,027",7,0,0,1,6,63,16,46,1,0
Earlville,"1,619",1,0,0,0,1,30,3,27,0,0
East Alton,"6,152",20,0,9,3,8,163,32,120,11,0
East Carondelet,467,6,0,1,1,4,4,3,0,1,0
East Dubuque,"1,648",13,0,2,1,10,24,2,19,3,0
East Dundee,"3,273",1,0,0,1,0,70,15,54,1,0
East Hazel Crest,"1,545",4,0,0,2,2,49,32,14,3,1
East Moline,"21,359",91,0,10,22,59,571,120,439,12,1
East Peoria,"23,008",97,2,12,5,78,625,171,439,15,9
East St. Louis,"26,769",757,27,35,103,592,604,210,266,128,9
Edinburg,"1,046",0,0,0,0,0,4,2,2,0,0
Edwardsville,"25,133",33,0,6,7,20,288,33,248,7,0
Effingham,"12,660",33,0,9,2,22,381,45,330,6,0
Elburn,"5,776",3,0,0,1,2,30,5,25,0,0
Eldorado,"4,050",6,0,0,0,6,147,34,98,15,0
Elgin,"112,886",236,2,34,63,137,"1,565",218,"1,279",68,10
Elizabeth,746,1,0,0,0,1,3,2,1,0,0
Elk Grove Village,"33,255",25,0,4,7,14,510,83,386,41,1
Elmhurst,"46,318",26,0,1,9,16,536,68,452,16,0
Elmwood,"2,088",0,0,0,0,0,24,9,14,1,0
Elmwood Park,"24,829",42,0,3,12,27,328,62,246,20,1
El Paso,"2,796",7,0,3,0,4,34,3,30,1,0
Energy,"1,144",2,0,0,0,2,14,6,7,1,0
Erie,"1,543",3,0,2,0,1,9,2,7,0,0
Eureka,"5,388",10,1,1,0,8,55,10,43,2,1
Evanston,"75,716",130,2,6,38,84,"1,671",329,"1,269",73,10
Evergreen Park,"19,836",41,0,5,17,19,600,56,519,25,2
Fairbury,"3,604",8,0,0,1,7,37,9,28,0,1
Fairfield,"5,019",21,0,1,3,17,109,29,78,2,1
Fairmont City,"2,478",1,0,0,0,1,18,7,8,3,0
Fairmount,616,0,0,0,0,0,1,0,1,0,0
Fairview Heights,"16,773",41,1,6,4,30,870,67,779,24,0
Farmington,"2,305",3,0,0,0,3,63,19,44,0,2
Findlay,647,0,0,0,0,0,7,2,5,0,0
Fisher,"1,974",2,0,1,0,1,35,12,23,0,0
Fithian,468,0,0,0,0,0,0,0,0,0,0
Flora,"4,919",4,0,0,0,4,84,18,63,3,0
Flossmoor,"9,479",15,0,2,6,7,120,22,95,3,1
Forest Park,"14,113",46,0,10,23,13,527,75,418,34,0
Forest View,691,3,0,0,0,3,41,11,20,10,8
Fox Lake,"10,495",17,0,3,1,13,143,28,112,3,0
Fox River Grove,"4,665",10,0,1,1,8,60,4,54,2,1
Frankfort,"18,822",8,0,0,5,3,185,14,162,9,0
Franklin Grove,957,0,0,0,0,0,9,4,5,0,0
Franklin Park,"18,306",27,0,6,5,16,211,40,128,43,6
Freeburg,"4,218",3,0,0,0,3,35,6,27,2,0
Freeport,"24,257",48,0,10,11,27,652,166,471,15,4
Fulton,"3,347",1,0,0,0,1,64,29,34,1,0
Galena,"3,276",6,0,1,0,5,40,0,38,2,0
Galesburg,"31,093",124,1,15,23,85,987,203,765,19,1
Geneseo,"6,522",8,0,2,0,6,83,18,63,2,0
Geneva,"21,864",11,1,4,1,5,187,23,160,4,4
Georgetown,"3,341",9,0,2,0,7,89,38,50,1,2
Germantown,"1,285",1,0,0,0,1,8,2,5,1,0
Gibson City,"3,408",10,0,2,0,8,33,11,22,0,3
Gifford,"1,117",0,0,0,0,0,5,0,5,0,0
