City,Population,Violent crime,Murder and Non-Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Gilberts,"7,792",2,0,0,0,2,23,7,15,1,0
Gillespie,"3,148",10,0,0,1,9,41,6,35,0,0
Gilman,"1,743",4,0,0,3,1,99,11,87,1,0
Girard,"2,012",5,0,2,0,3,14,1,12,1,0
Glasford,"1,000",2,0,0,0,2,1,1,0,0,0
Glen Carbon,"12,971",6,0,1,0,5,100,12,87,1,3
Glendale Heights,"34,472",30,0,0,16,14,571,62,494,15,0
Glen Ellyn,"28,282",26,1,6,6,13,244,35,202,7,2
Glenview,"48,008",41,0,5,2,34,611,80,503,28,2
Glenwood,"8,996",13,0,0,7,6,139,27,105,7,0
Godley,698,0,0,0,0,0,5,2,3,0,0
Golf,505,0,0,0,0,0,1,0,1,0,0
Goodfield,962,1,0,0,0,1,56,5,50,1,0
Grafton,649,0,0,0,0,0,10,1,9,0,0
Grandview,"1,424",7,0,0,3,4,23,7,15,1,0
Granite City,"28,899",191,1,24,33,133,600,165,367,68,9
Grantfork,326,0,0,0,0,0,0,0,0,0,0
Grayslake,"20,916",26,0,4,3,19,342,58,270,14,5
Grayville,"1,618",5,0,0,1,4,50,16,31,3,0
Greenfield,"1,010",3,0,1,0,2,15,4,11,0,0
Greenup,"1,491",3,0,0,0,3,30,10,20,0,0
Greenville,"6,594",6,0,0,0,6,118,11,102,5,0
Gurnee,"31,014",23,0,5,8,10,"1,269",55,"1,183",31,0
Hampshire,"6,248",10,0,0,0,10,34,3,24,7,1
Hampton,"1,835",0,0,0,0,0,29,11,18,0,0
Hanover,808,2,0,0,1,1,4,0,4,0,1
Hanover Park,"38,402",39,0,4,14,21,256,39,206,11,0
Harrisburg,"8,863",71,0,3,3,65,178,74,92,12,1
Hartford,"1,373",5,0,2,3,0,16,0,15,1,0
Harvard,"9,146",8,0,1,1,6,113,9,103,1,0
Havana,"3,034",25,0,6,0,19,49,7,42,0,0
Hawthorn Woods,"8,002",1,0,0,0,1,7,2,5,0,0
Hazel Crest,"14,119",61,3,3,39,16,488,130,317,41,4
Henning,245,0,0,0,0,0,0,0,0,0,0
Henry,"2,301",7,0,0,1,6,42,9,33,0,0
Herrin,"12,985",39,0,6,5,28,450,134,292,24,3
Herscher,"1,547",1,0,0,0,1,9,1,8,0,0
Hickory Hills,"14,134",17,0,3,6,8,138,13,114,11,1
Highland Park,"29,737",21,0,7,4,10,265,22,231,12,0
Highwood,"5,337",3,0,0,1,2,37,2,31,4,0
Hillsboro,"5,635",14,0,3,0,11,70,15,49,6,0
Hillsdale,509,0,0,0,0,0,2,0,2,0,0
Hinckley,"2,056",0,0,0,0,0,18,5,13,0,0
Hinsdale,"17,790",5,0,1,4,0,181,12,154,15,0
Hodgkins,"1,862",7,0,0,1,6,224,5,217,2,1
Hoffman Estates,"52,177",55,0,11,15,29,429,52,353,24,0
Homer,"1,199",0,0,0,0,0,3,0,3,0,0
Homer Glen,"24,421",6,1,0,2,3,116,20,92,4,0
Hometown,"4,340",5,0,1,1,3,40,4,31,5,0
Homewood,"19,379",38,0,4,22,12,569,72,486,11,1
Hoopeston,"5,194",17,0,1,2,14,169,46,115,8,2
Hopedale,839,0,0,0,0,0,11,5,6,0,0
Hudson,"1,847",3,0,1,0,2,10,2,8,0,0
Huntley,"26,345",7,0,0,2,5,213,25,186,2,1
Ina,"2,365",5,0,0,0,5,3,0,2,1,0
Indian Head Park,"3,827",0,0,0,0,0,33,1,29,3,0
Indianola,269,0,0,0,0,0,0,0,0,0,0
Island Lake,"8,079",8,0,3,0,5,60,6,52,2,0
Itasca,"8,825",2,0,0,2,0,78,8,66,4,0
Jacksonville,"19,039",61,0,6,4,51,602,102,494,6,1
Jerome,"1,645",2,0,0,1,1,27,4,22,1,1
Jerseyville,"8,470",25,0,12,0,13,260,44,207,9,0
Johnsburg,"6,303",5,0,4,0,1,127,0,126,1,0
Joliet,"147,886",488,10,51,128,299,"2,801",517,"2,143",141,64
Kankakee,"26,509",203,5,26,74,98,"1,098",251,786,61,12
Kenilworth,"2,563",0,0,0,0,0,12,1,11,0,0
Kewanee,"12,460",38,0,13,2,23,424,43,371,10,0
Kildeer,"4,066",2,0,1,1,0,19,3,16,0,0
Kincaid,"1,424",8,0,2,1,5,17,1,15,1,0
Kingston,"1,154",0,0,0,0,0,3,0,3,0,3
Kirkland,"1,732",4,0,0,0,4,21,4,17,0,0
Lacon,"1,805",0,0,0,0,0,10,4,6,0,0
Ladd,"1,231",1,0,0,0,1,5,4,1,0,0
La Grange,"15,754",14,0,1,5,8,197,40,153,4,0
La Grange Park,"13,612",3,0,0,1,2,105,9,91,5,0
La Harpe,"1,190",1,0,0,0,1,17,5,12,0,0
Lake Bluff,"5,666",4,0,0,1,3,56,3,50,3,0
Lake Forest,"19,410",4,0,0,0,4,112,14,98,0,0
Lake in the Hills,"29,022",24,0,8,0,16,146,31,115,0,1
Lakemoor,"6,006",2,0,0,0,2,22,6,16,0,0
Lake Villa,"8,849",11,0,2,1,8,48,8,39,1,0
Lake Zurich,"20,051",11,0,8,0,3,255,27,227,1,2
Lanark,"1,357",0,0,0,0,0,7,1,5,1,0
Lansing,"28,347",113,1,10,70,32,"1,886",271,"1,527",88,2
La Salle,"9,194",3,0,0,0,3,187,31,152,4,0
Lawrenceville,"4,428",14,0,0,0,14,77,29,42,6,3
Lebanon,"4,467",9,0,5,3,1,54,17,34,3,0
Lemont,"16,927",6,0,3,1,2,140,19,113,8,0
Lenzburg,487,0,0,0,0,0,4,2,2,0,0
Le Roy,"3,585",6,0,1,0,5,29,9,19,1,0
Libertyville,"20,454",8,1,1,3,3,268,23,239,6,0
Lincoln,"13,867",38,0,8,3,27,325,61,249,15,2
Lincolnshire,"7,282",2,0,0,1,1,31,3,26,2,0
Lincolnwood,"12,655",20,0,0,7,13,454,76,357,21,2
Lindenhurst,"14,408",3,0,2,1,0,71,8,61,2,1
Lisle,"23,063",9,0,4,1,4,211,29,173,9,0
Litchfield,"6,852",5,0,0,1,4,180,19,159,2,1
Loami,756,0,0,0,0,0,17,8,9,0,0
Lockport,"25,223",22,2,4,5,11,193,20,171,2,2
Lombard,"43,866",50,0,13,17,20,942,94,830,18,5
Loves Park,"23,349",79,1,11,17,50,454,98,336,20,2
Lovington,"1,104",0,0,0,0,0,11,3,7,1,0
Lyons,"10,719",13,3,0,5,5,120,21,86,13,3
Machesney Park,"22,816",76,1,14,7,54,566,80,474,12,1
Macomb,"18,402",72,0,21,3,48,294,65,225,4,1
Mahomet,"8,216",4,0,0,0,4,32,9,22,1,0
Malta,"1,150",0,0,0,0,0,0,0,0,0,0
Manhattan,"7,464",2,0,0,0,2,32,3,29,0,0
Maple Park,"1,307",0,0,0,0,0,3,0,3,0,0
Marengo,"7,467",5,0,2,0,3,70,15,54,1,0
Marine,930,0,0,0,0,0,1,0,1,0,0
Marissa,"1,833",15,0,0,0,15,40,5,33,2,0
Maroa,"1,727",2,0,1,0,1,20,11,9,0,1
Marquette Heights,"2,726",6,0,2,0,4,11,4,7,0,0
Marseilles,"4,934",9,0,1,1,7,104,36,66,2,1
Marshall,"3,871",8,0,0,2,6,31,2,29,0,2
Martinsville,"1,129",1,0,0,0,1,14,3,11,0,0
Maryville,"7,978",7,0,0,1,6,47,11,32,4,0
Mascoutah,"8,063",5,0,0,2,3,42,7,35,0,0
Matteson,"19,226",71,0,6,18,47,575,54,457,64,0
Mattoon,"18,026",70,1,10,7,52,371,63,307,1,6
Maywood,"23,994",165,5,15,68,77,572,144,339,89,2
McCook,230,0,0,0,0,0,21,2,12,7,0
McCullom Lake,"1,015",0,0,0,0,0,0,0,0,0,0
McHenry,"26,581",40,1,13,2,24,403,27,372,4,0
McLean,812,2,0,0,1,1,8,3,5,0,0
Melrose Park,"25,369",51,2,10,17,22,321,42,226,53,0
Mendota,"7,173",6,0,3,0,3,88,21,67,0,1
Metropolis,"6,290",36,0,6,2,28,245,50,185,10,0
Midlothian,"14,850",37,1,0,27,9,373,115,221,37,1
Milan,"5,082",16,0,3,1,12,121,16,105,0,0
Milledgeville,973,0,0,0,0,0,22,3,17,2,0
Millstadt,"3,877",1,0,0,0,1,20,5,15,0,0
Minier,"1,219",0,0,0,0,0,23,3,19,1,0
Mokena,"20,156",5,0,2,0,3,261,22,232,7,0
Moline,"42,517",196,0,26,19,151,"1,459",227,"1,205",27,4
Monee,"5,068",2,0,2,0,0,52,7,39,6,0
Monmouth,"9,261",35,0,9,3,23,193,43,138,12,3
Montgomery,"19,703",18,1,7,0,10,330,44,270,16,2
Monticello,"5,501",5,0,0,0,5,46,12,34,0,1
Morris,"14,507",20,0,4,3,13,303,33,266,4,2
Morrison,"4,137",6,0,0,0,6,39,5,32,2,0
Morton,"16,310",14,0,0,0,14,145,47,97,1,2
Morton Grove,"23,478",11,0,0,3,8,207,57,144,6,1
Mount Carmel,"6,982",15,0,0,2,13,182,27,153,2,1
Mount Carroll,"1,602",0,0,0,0,0,30,3,25,2,0
Mount Morris,"2,854",0,0,0,0,0,20,4,15,1,0
Mount Olive,"1,995",1,0,0,0,1,4,0,3,1,0
Mount Prospect,"54,839",26,0,6,10,10,565,53,490,22,5
Mount Pulaski,"1,505",0,0,0,0,0,6,2,4,0,0
Mount Vernon,"15,053",194,0,18,24,152,776,183,585,8,15
Mount Zion,"5,865",3,0,1,1,1,21,2,19,0,0
Moweaqua,"1,736",1,0,0,0,1,7,5,2,0,0
Mundelein,"31,685",24,0,1,2,21,292,52,230,10,2
Murphysboro,"7,726",59,1,13,8,37,433,73,357,3,2
Naperville,"148,070",92,0,15,34,43,"1,587",141,"1,401",45,4
Nashville,"3,109",12,0,1,0,11,69,8,56,5,0
New Athens,"1,930",1,0,0,0,1,18,4,14,0,0
New Baden,"3,304",4,0,1,0,3,27,0,27,0,0
New Lenox,"26,085",25,0,7,6,12,302,32,265,5,0
Newton,"2,807",0,0,0,0,0,53,13,40,0,0
Niles,"29,886",29,0,2,8,19,702,49,639,14,1
Nokomis,"2,171",8,1,1,0,6,33,9,22,2,1
Normal,"54,727",144,1,35,29,79,"1,080",142,912,26,1
Norridge,"14,629",13,0,1,3,9,414,32,371,11,0
North Aurora,"17,599",21,0,4,4,13,240,25,208,7,1
Northbrook,"33,746",11,1,2,5,3,382,42,327,13,0
Northfield,"5,494",0,0,0,0,0,40,6,33,1,1
Northlake,"12,308",16,0,2,7,7,252,16,218,18,0
North Riverside,"6,663",15,0,0,9,6,486,16,459,11,0
Oak Brook,"8,130",10,0,2,3,5,562,18,536,8,0
Oakbrook Terrace,"2,169",5,0,1,2,2,108,10,93,5,0
Oak Forest,"28,088",42,1,5,20,16,300,57,214,29,1
Oak Lawn,"56,791",79,1,7,38,33,937,99,810,28,3
Oak Park,"52,365",108,0,2,68,38,"1,495",359,"1,057",79,3
Oakwood,"1,520",4,0,0,0,4,13,8,5,0,0
Oakwood Hills,"2,059",2,0,2,0,0,19,3,16,0,0
Oblong,"1,420",7,0,0,0,7,15,8,7,0,0
O'Fallon,"29,061",45,1,15,7,22,518,65,444,9,0
Oglesby,"3,619",3,0,2,0,1,43,6,37,0,0
Okawville,"1,392",3,0,0,0,3,17,7,9,1,0
Olney,"8,984",49,1,10,0,38,283,32,241,10,4
Olympia Fields,"5,031",4,0,0,2,2,146,11,134,1,0
Onarga,"1,313",1,0,0,0,1,5,1,3,1,0
Oregon,"3,553",6,0,1,0,5,107,12,90,5,0
Orion,"1,818",0,0,0,0,0,6,3,3,0,0
Orland Hills,"7,255",4,0,0,0,4,46,5,40,1,0
Orland Park,"59,009",25,0,2,4,19,"1,335",53,"1,263",19,2
Oswego,"34,681",25,0,7,5,13,389,27,353,9,3
Ottawa,"18,263",23,0,1,3,19,390,45,333,12,3
Palatine,"69,447",37,0,14,8,15,600,35,543,22,1
Palestine,"1,324",9,0,1,0,8,19,1,17,1,0
Palos Heights,"12,549",2,0,0,0,2,87,7,77,3,1
Palos Hills,"17,578",16,0,1,5,10,84,6,70,8,0
Palos Park,"4,894",2,0,0,0,2,32,4,28,0,0
Pana,"5,562",14,0,6,0,8,91,16,73,2,0
Paris,"8,356",38,0,1,1,36,116,51,54,11,2
Park City,"7,357",10,0,4,2,4,103,33,63,7,0
Park Forest,"21,947",75,2,11,34,28,353,110,209,34,4
Park Ridge,"37,805",12,0,1,8,3,375,67,294,14,3
Pawnee,"2,707",1,1,0,0,0,2,1,1,0,0
Paxton,"4,332",10,0,1,1,8,61,8,51,2,2
Pekin,"33,052",139,0,25,15,99,664,90,562,12,6
Peoria,"115,099",875,10,70,305,490,"4,429","1,089","3,116",224,61
Peoria Heights,"5,960",30,1,6,1,22,149,27,114,8,0
Peotone,"4,114",7,0,0,3,4,13,2,10,1,0
Peru,"9,886",15,0,4,4,7,157,24,132,1,0
Phoenix,"1,956",14,0,0,2,12,43,23,17,3,0
Pierron,558,0,0,0,0,0,0,0,0,0,0
Pinckneyville,"5,336",4,0,0,1,3,26,6,20,0,0
Pingree Grove,"7,162",5,0,5,0,0,20,1,18,1,0
Pittsfield,"4,468",3,0,0,0,3,66,10,54,2,0
Plainfield,"43,063",37,0,7,3,27,330,35,280,15,2
Plano,"11,358",0,0,0,0,0,108,10,96,2,0
Pleasant Hill,937,3,0,3,0,0,9,3,6,0,0
Pleasant Plains,804,0,0,0,0,0,2,0,2,0,0
Pontiac,"11,771",26,0,0,3,23,222,37,181,4,2
Pontoon Beach,"5,598",8,0,0,2,6,113,23,84,6,1
Posen,"5,992",14,1,0,7,6,102,24,65,13,0
Potomac,716,0,0,0,0,0,1,0,1,0,0
Princeton,"7,534",14,0,2,0,12,103,17,82,4,2
Prophetstown,"1,999",0,0,0,0,0,0,0,0,0,0
Prospect Heights,"16,410",19,0,0,5,14,106,19,78,9,1
Quincy,"40,799",209,0,43,23,143,"1,323",295,987,41,9
Raleigh,348,0,0,0,0,0,3,2,1,0,0
Rankin,535,0,0,0,0,0,0,0,0,0,0
Rantoul,"13,018",53,0,14,13,26,339,101,225,13,3
Red Bud,"3,564",2,0,1,0,1,13,5,8,0,0
Richmond,"1,904",2,0,0,1,1,19,3,15,1,0
Richton Park,"13,702",58,0,7,36,15,299,46,220,33,0
Ridge Farm,847,0,0,0,0,0,9,3,6,0,0
River Forest,"11,203",17,0,0,7,10,291,42,244,5,0
River Grove,"10,216",11,1,4,3,3,149,37,97,15,0
Riverside,"8,826",13,0,1,0,12,118,26,90,2,1
Riverton,"3,463",14,0,2,2,10,70,12,53,5,0
Riverwoods,"3,639",3,0,1,0,2,26,5,19,2,0
Robinson,"7,616",31,0,2,0,29,106,13,88,5,1
Rochester,"3,794",4,0,1,0,3,9,0,8,1,0
Rockdale,"1,942",2,0,1,0,1,3,0,1,2,0
Rock Falls,"9,027",35,0,1,4,30,119,60,57,2,0
Rockford,"147,363","2,444",26,137,536,"1,745","5,565","1,406","3,696",463,78
Rock Island,"38,543",158,4,6,23,125,"1,042",175,782,85,6
Rockton,"7,494",7,0,2,0,5,163,11,150,2,1
Rolling Meadows,"24,205",16,0,6,2,8,284,12,266,6,0
Romeoville,"39,727",45,0,8,14,23,623,61,544,18,2
Roscoe,"10,523",9,0,0,0,9,130,55,73,2,0
Roselle,"23,037",18,0,11,2,5,190,29,157,4,3
Rosemont,"4,206",25,0,5,4,16,279,8,263,8,86
Round Lake,"18,484",19,0,5,5,9,133,24,107,2,0
Round Lake Beach,"27,796",38,0,10,6,22,581,44,527,10,1
Round Lake Heights,"2,713",5,0,1,1,3,24,1,23,0,0
Round Lake Park,"7,415",5,0,0,0,5,83,20,56,7,0
Roxana,"1,472",6,0,1,1,4,31,9,22,0,0
Royalton,"1,135",1,0,0,0,1,10,5,4,1,0
Ruma,315,0,0,0,0,0,1,0,1,0,0
Rushville,"2,927",4,0,2,0,2,30,7,23,0,0
Salem,"7,249",21,0,1,3,17,379,49,316,14,2
Sandoval,"1,221",8,0,3,3,2,29,8,20,1,5
Sandwich,"7,355",8,0,5,0,3,48,10,38,0,0
Sauget,151,4,1,0,1,2,64,0,53,11,0
Sauk Village,"10,489",54,2,10,11,31,117,38,56,23,3
Savanna,"2,845",10,0,2,0,8,83,17,63,3,0
Schaumburg,"74,774",74,0,23,21,30,"1,685",108,"1,526",51,4
Schiller Park,"11,807",19,0,10,6,3,229,41,161,27,0
Shannon,703,0,0,0,0,0,0,0,0,0,0
Shawneetown,"1,150",4,0,0,1,3,13,3,9,1,0
Sherman,"4,697",1,0,0,0,1,17,9,8,0,0
Shiloh,"13,056",29,0,4,7,18,223,38,177,8,1
Shorewood,"16,968",29,0,10,2,17,174,30,138,6,0
