Age,# of Crimes
20 to 29,10499
Unknown,7364
10 to 19,6970
30 to 39,5198
40 to 49,2446
50 to 59,1452
60 to 69,494
70 to 79,88
90 to Older,65
0 to 9,46
80 to 89,34
