City,Population,Violent crime,Murder and Non-Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Year
Naperville,"142,280",112,2.0,4.0,24,82,"2,110",300,"1,768",42,8.0,2011
Naperville,"142,840",119,3.0,7.0,24,85,"2,044",255,"1,748",41,16.0,2012
Naperville,"144,221",105,0.0,7.0,21,77,"1,869",225,"1,610",34,2.0,2013
Naperville,"145,510",113,1.0,8,20,84,"1,634",176,"1,421",37,3.0,2014
Naperville,"147,101",128,0.0,14,27,87,"1,652",161,"1,458",33,3.0,2015
Naperville,"148,070",92,0.0,15,34,43,"1,587",141,"1,401",45,4.0,2016
Naperville,"147,934",136,1.0,22,33,80,"1,716",129,"1,540",47,8.0,2017
Naperville,"148,457",102,0.0,29,21,52,,163,,39,0.0,2018
